DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A2;P784S4A3;P784S4A4
7247328;1;1;1;476,8712911637;SUBSIDIO IVA;1;75000
7247451;1;1;1;44,1526188752048;COMFAGUAJIRA;1;360000
7247472;1;1;1;94,283486069158;SUBSIDIO DESEMPLEO;1;1080000
7247490;1;1;1;179,744807528885;APOYO DE SOSTENIMIENTO EN EL SENA;1;820000
7247501;1;1;1;41,4650330995414;PAE;3;270000
7247509;1;1;1;35,9204560648667;DAVIVINDA;1;80000
7247516;1;1;1;45,1572284788161;ALCALDIA DEL MOLINO;1;60000
7247518;1;1;1;40,8614730248786;ALCALDIA DE MOLINO;1;50000
7247519;1;1;1;44,9601810449777;JOVENES EN ACCION;1;2300000
7247520;1;1;1;35,1768655495161;ALCALDIA DEL MOLINO;1;30000
7247520;3;1;3;35,1768655495161;ALCALDIA DEL MOLINO;1;30000
7247520;2;1;2;35,1768655495161;ALCALDIA DEL MOLINO;1;30000
7247544;1;1;1;12,4010421927616;RED SOCIAL;1;160000
7247639;1;1;1;123,417491657934;MERCADOS SOLIDARIOS;1;200000
7247644;1;1;1;173,636154099908;DEVOLUCION DEL IVA;1;75000
7247662;1;1;1;142,963535035256;DEVOLUCION DEL IVA;1;150000
7247666;1;1;1;99,2407229478126;MERCADOS SOLIDARIOS;1;400000
7247900;1;1;1;65,5979938211109;MERCADO DE ALIMENTOS NO PERECEDEROS;1;130000
7247912;1;1;1;93,5455798548461;DEVOLUCION DEL IVA;1;75000
7247986;1;1;1;127,393107871617;DEVOLUCION DEL IVA;1;225000
7248008;2;1;2;228,012341106145;INGRESO SOLIDARIO;1;450000
7248082;1;1;1;75,5476876672002;AYUDA HUMANITARIA;1;150000
7248083;1;1;1;79,7563720925083;AYUDA HUMANITARIA MERCADOS;1;150000
7248085;1;1;1;85,0666563734997;AYUDA HUMANITARIA;1;70000
7248087;1;1;1;60,5913620846221;AYUDA HUMANITARIA MERCADOS;1;80000
7248090;1;1;1;90,2514221168976;AYUDA HUMANITARIA COMIDA;1;80000
7248141;1;1;1;1431,17259442785;JOVENES EN ACCION;1;2000000
7248155;1;1;1;4,05743930332499;CANASTA CAMPESINA;1;1200000
7248172;1;1;1;596,355979204058;PAE;2;960000
7248278;1;1;1;74,9233278695611;AYUDA HUMANITARIA;1;700000
7248446;1;1;1;174,236466242446;MERCADO;1;80000
7248456;1;1;1;138,952047424145;IVA;1;210000
7248467;1;1;1;64,7048492333267;JOVENES EN ACCION;1;700000
7248523;1;1;1;135,491093129823;DEVOLUCION DEL IVA;1;150000
7248542;1;1;1;75,3213703695244;MERCADO;1;80000
7248542;2;1;2;75,3213703695244;MERCADO;1;80000
7248825;1;1;1;257,572260902649;DEVOLUCION DEL L IVA;1;225000
