DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7247338;1;1;1;456,972286921438;3
7247342;1;1;1;463,86307689886;4
7247366;1;1;1;475,059250369276;2
7247366;2;1;2;475,059250369276;3
7247377;1;1;1;327,943222274467;1
7247416;1;1;1;371,065780036008;3
7247416;2;1;2;371,065780036008;4
7247418;1;1;1;263,0965867805;3
7247418;2;1;2;263,0965867805;4
7247424;1;1;1;336,554756518897;3
7247424;2;1;2;336,554756518897;4
7247424;3;1;3;336,554756518897;5
7247440;1;1;1;86,2897580388348;2
7247466;1;1;1;56,0045288812658;2
7247481;1;1;1;95,186195740231;1
7247491;1;1;1;175,128154598343;3
7247491;2;1;2;175,128154598343;4
7247493;1;1;1;205,156950247354;5
7247495;1;1;1;193,234376125013;5
7247495;2;1;2;193,234376125013;6
7247502;1;1;1;36,3817761602348;3
7247504;1;1;1;38,5187191837898;5
7247504;2;1;2;38,5187191837898;6
7247505;1;1;1;259,712791953217;2
7247505;2;1;2;259,712791953217;3
7247505;3;1;3;259,712791953217;4
7247507;1;1;1;315,753719939806;3
7247509;1;1;1;35,9204560648667;4
7247509;3;1;3;35,9204560648667;7
7247509;2;1;2;35,9204560648667;5
7247510;1;1;1;276,00513444844;4
7247510;2;1;2;276,00513444844;5
7247519;1;1;1;44,9601810449777;4
7247525;1;1;1;19,3074708672481;3
7247528;1;1;1;19,5868825563926;3
7247528;2;1;2;19,5868825563926;4
7247613;2;1;2;256,142179162504;4
7247613;1;1;1;256,142179162504;3
7247613;3;1;3;256,142179162504;5
7247615;1;1;1;223,17436930347;3
7247621;1;1;1;230,13586818943;3
7247621;2;1;2;230,13586818943;4
7247628;1;1;1;298,123588427392;5
7247631;1;1;1;262,036739309119;1
7247635;1;1;1;225,303598661185;1
7247642;1;1;1;173,636154099908;3
7247642;2;1;2;173,636154099908;4
7247643;1;1;1;149,866115840511;3
7247644;1;1;1;173,636154099908;3
7247644;2;1;2;173,636154099908;4
7247645;1;1;1;254,438446033064;3
7247645;2;1;2;254,438446033064;4
7247645;3;1;3;254,438446033064;5
7247668;1;1;1;160,631413120005;4
7247673;1;1;1;130,778856353154;3
7247673;2;1;2;130,778856353154;4
7247673;3;1;3;130,778856353154;5
7247681;1;1;1;168,458094722397;3
7247688;1;1;1;173,396631873019;2
7247692;2;1;2;129,518746389204;4
7247692;3;1;3;129,518746389204;5
7247692;1;1;1;129,518746389204;3
7247694;1;1;1;133,772510463178;2
7247697;1;1;1;56,4113827124604;2
7247698;1;1;1;149,812046545871;3
7247703;1;1;1;92,9269255072814;3
7247710;1;1;1;171,847276182176;4
7247710;2;1;2;171,847276182176;6
7247712;1;1;1;166,625201943715;3
7247712;2;1;2;166,625201943715;4
7247713;1;1;1;164,410667518307;3
7247713;2;1;2;164,410667518307;4
7247714;1;1;1;205,929200044471;3
7247714;2;1;2;205,929200044471;4
7247714;3;1;3;205,929200044471;5
7247714;4;1;4;205,929200044471;6
7247718;2;1;2;221,104327742111;4
7247718;3;1;3;221,104327742111;5
7247718;1;1;1;221,104327742111;3
7247720;1;1;1;164,488861382662;4
7247720;2;1;2;164,488861382662;5
7247722;1;1;1;159,378100021472;5
7247729;1;1;1;279,652250157313;2
7247729;2;1;2;279,652250157313;3
7247731;1;1;1;309,772668741917;4
7247732;1;1;1;408,036468576648;4
7247732;2;1;2;408,036468576648;6
7247732;3;1;3;408,036468576648;7
7247735;1;1;1;324,847817290804;2
7247735;2;1;2;324,847817290804;3
7247739;1;1;1;325,039280494655;1
7247740;1;1;1;395,702805404808;3
7247740;2;1;2;395,702805404808;4
7247742;1;1;1;275,380887453265;3
7247742;2;1;2;275,380887453265;4
7247742;3;1;3;275,380887453265;5
7247745;1;1;1;354,204211363812;2
7247745;2;1;2;354,204211363812;3
7247758;1;1;1;102,563700871449;2
7247770;1;1;1;104,934753325726;5
7247775;1;1;1;99,9325622324374;5
7247775;2;1;2;99,9325622324374;6
7247778;1;1;1;94,6517799681923;6
7247781;1;1;1;105,992007273391;2
7247784;1;1;1;110,070566305063;5
7247792;1;1;1;108,45793595997;3
7247794;1;1;1;103,271261629107;3
7247795;1;1;1;105,654014241828;4
7247799;1;1;1;106,412974822209;3
7247802;1;1;1;106,165930074667;3
7247802;2;1;2;106,165930074667;4
7247802;3;1;3;106,165930074667;5
7247810;1;1;1;109,177382587685;3
7247818;1;1;1;51,3629307511938;3
7247818;2;1;2;51,3629307511938;4
7247829;1;1;1;85,7044805956578;2
7247829;2;1;2;85,7044805956578;4
7247831;1;1;1;56,8315488483804;3
7247831;2;1;2;56,8315488483804;4
7247843;1;1;1;125,156302130675;3
7247871;1;1;1;125,284522548602;4
7247871;2;1;2;125,284522548602;5
7247883;1;1;1;59,47151902204;5
7247886;1;1;1;63,3877231613622;3
7247887;1;1;1;62,0928716557744;4
7247887;2;1;2;62,0928716557744;5
7247889;1;1;1;76,5620545973241;6
7247893;1;1;1;65,8802834483595;3
7247895;1;1;1;64,8703408866405;4
7247898;1;1;1;81,6526727645137;6
7247900;1;1;1;65,5979938211109;3
7247900;2;1;2;65,5979938211109;4
7247900;3;1;3;65,5979938211109;5
7247901;1;1;1;78,7961586384161;5
7247901;2;1;2;78,7961586384161;6
7247905;1;1;1;59,0761223867165;4
7247907;1;1;1;98,2217281967794;3
7247912;1;1;1;93,5455798548461;3
7247917;1;1;1;113,071470623915;3
7247917;2;1;2;113,071470623915;4
7247918;1;1;1;100,760143705987;3
7247920;1;1;1;108,702011469287;3
7247921;1;1;1;67,7566904433401;4
7247921;2;1;2;67,7566904433401;5
7247924;1;1;1;117,440929778544;3
7247924;2;1;2;117,440929778544;4
7247926;1;1;1;56,4283943083857;4
7247934;1;1;1;79,1863555213866;3
7247934;2;1;2;79,1863555213866;4
7247936;1;1;1;63,3483721030311;4
7247936;2;1;2;63,3483721030311;5
7247940;1;1;1;48,8624231713019;2
7247940;2;1;2;48,8624231713019;5
7247950;1;1;1;46,8006331077037;3
7247953;1;1;1;48,3355984748671;3
7247953;2;1;2;48,3355984748671;4
7247954;1;1;1;46,8006331077037;3
7247955;1;1;1;51,1508089841222;3
7247955;2;1;2;51,1508089841222;4
7247955;3;1;3;51,1508089841222;5
7247955;4;1;4;51,1508089841222;6
7247969;1;1;1;246,690670619101;4
7247969;2;1;2;246,690670619101;5
7247969;3;1;3;246,690670619101;6
7247971;1;1;1;264,875219822484;3
7247981;1;1;1;268,113030024982;3
7247981;2;1;2;268,113030024982;4
7247981;3;1;3;268,113030024982;5
7247986;1;1;1;127,393107871617;4
7248008;1;1;1;228,012341106145;3
7248021;1;1;1;76,3424704418037;2
7248021;2;1;2;76,3424704418037;3
7248024;1;1;1;59,926478055012;4
7248034;1;1;1;60,7107746946994;2
7248043;1;2;1;192,307959740396;3
7248046;1;1;1;183,867757133067;2
7248046;2;1;2;183,867757133067;3
7248046;3;1;3;183,867757133067;4
7248049;1;1;1;180,699799085547;2
7248058;1;1;1;229,4330835721;3
7248072;1;1;1;78,2435106473088;3
7248072;2;1;2;78,2435106473088;4
7248086;1;1;1;74,7219460641946;4
7248087;1;1;1;60,5913620846221;3
7248087;2;1;2;60,5913620846221;4
7248088;1;1;1;82,8551259205818;6
7248090;1;1;1;90,2514221168976;5
7248090;2;1;2;90,2514221168976;8
7248096;1;1;1;113,213189797266;3
7248096;2;1;2;113,213189797266;4
7248098;1;1;1;119,44558975239;1
7248103;1;1;1;137,552399851828;5
7248103;2;1;2;137,552399851828;6
7248107;2;1;2;113,213189797266;4
7248107;1;1;1;113,213189797266;3
7248110;1;1;1;104,257561689321;2
7248196;1;1;1;618,530931052144;2
7248196;2;1;2;618,530931052144;3
7248267;1;1;1;77,1140597169585;3
7248273;1;1;1;66,2363803173244;4
7248273;2;1;2;66,2363803173244;5
7248276;1;1;1;41,4054792004539;2
7248281;1;1;1;66,9161591607618;3
7248290;1;1;1;69,6804013865259;4
7248290;2;1;2;69,6804013865259;5
7248290;3;1;3;69,6804013865259;6
7248294;1;1;1;68,169448382566;1
7248318;1;1;1;55,6570658144186;3
7248318;2;1;2;55,6570658144186;4
7248323;1;1;1;57,8543030846178;2
7248329;1;1;1;54,4282285849264;2
7248332;1;1;1;85,8182399348724;3
7248340;1;1;1;191,876952501494;3
7248340;2;1;2;191,876952501494;4
7248340;3;1;3;191,876952501494;6
7248340;4;1;4;191,876952501494;7
7248341;1;1;1;203,862138273204;3
7248341;2;1;2;203,862138273204;4
7248342;1;1;1;104,442510540548;2
7248342;2;1;2;104,442510540548;3
7248359;1;1;1;201,204647135896;1
7248372;1;1;1;210,809616241335;3
7248372;2;1;2;210,809616241335;4
7248376;1;1;1;174,956221619162;2
7248376;2;1;2;174,956221619162;3
7248377;1;1;1;145,893984449786;4
7248392;1;1;1;143,446281392394;3
7248392;2;1;2;143,446281392394;4
7248397;1;1;1;123,863199106865;3
7248397;2;1;2;123,863199106865;4
7248400;1;1;1;125,328502535612;3
7248400;2;1;2;125,328502535612;4
7248401;1;1;1;133,385900982648;3
7248407;1;1;1;137,730252836681;4
7248407;2;1;2;137,730252836681;6
7248410;1;1;1;123,575739479183;3
7248411;1;1;1;97,827396308566;1
7248413;1;1;1;155,43227778715;3
7248417;1;1;1;148,681553018986;3
7248425;1;1;1;144,322957409876;1
7248425;2;1;2;144,322957409876;2
7248432;1;1;1;146,229157063525;3
7248432;2;1;2;146,229157063525;4
7248436;1;1;1;104,240148323316;3
7248444;1;1;1;154,923248368353;5
7248446;1;1;1;174,236466242446;4
7248446;2;1;2;174,236466242446;5
7248448;1;1;1;141,486062079386;3
7248448;2;1;2;141,486062079386;4
7248450;1;1;1;138,553322126914;3
7248456;1;1;1;138,952047424145;2
7248457;1;1;1;124,081274024596;4
7248459;1;1;1;143,755751198807;5
7248460;1;1;1;144,853707179077;3
7248460;2;1;2;144,853707179077;4
7248462;1;1;1;200,007837804394;3
7248463;1;1;1;110,390899323895;3
7248483;1;1;1;62,2520440387321;3
7248523;1;1;1;135,491093129823;2
7248549;1;1;1;167,40076141461;3
7248549;2;1;2;167,40076141461;4
7248571;1;1;1;43,3017724983502;3
7248571;2;1;2;43,3017724983502;4
7248594;1;1;1;43,2425903074926;4
7248594;2;1;2;43,2425903074926;5
7248617;1;1;1;40,4032608224913;2
7248617;2;1;2;40,4032608224913;3
7248617;3;1;3;40,4032608224913;4
7248627;1;1;1;176,911251522367;3
7248627;2;1;2;176,911251522367;4
7248639;1;1;1;234,97118658486;3
7248639;2;1;2;234,97118658486;4
7248645;1;1;1;80,9101622389607;2
7248645;2;1;2;80,9101622389607;3
7248646;1;1;1;38,7247909105394;4
7248649;1;1;1;27,1867616959016;3
7248649;2;1;2;27,1867616959016;4
7248652;1;1;1;52,4177528989887;3
7248653;1;1;1;69,79307666173;3
7248662;1;1;1;52,2338803385819;2
7248668;1;1;1;44,1615273543794;2
7248672;1;1;1;72,6361017069557;3
7248672;2;1;2;72,6361017069557;4
7248672;3;1;3;72,6361017069557;5
7248681;1;1;1;35,2940120068898;3
7248681;2;1;2;35,2940120068898;4
7248681;3;1;3;35,2940120068898;5
7248686;1;1;1;55,1921873807543;1
7248709;1;1;1;373,999234307093;3
7248709;2;1;2;373,999234307093;4
7248714;1;1;1;316,090576106487;2
7248717;1;1;1;215,213404793353;2
7248719;1;1;1;218,63193026485;3
7248751;1;1;1;156,733303977969;2
7248751;2;1;2;156,733303977969;3
7248757;1;1;1;70,3350964615185;4
7248760;1;1;1;99,7737468646201;3
7248760;2;1;2;99,7737468646201;4
7248799;1;1;1;162,605258226392;3
7248801;1;1;1;193,512430530472;3
7248801;2;1;2;193,512430530472;4
7248809;1;1;1;199,666878149451;4
7248816;1;1;1;199,664949209063;4
7248817;1;1;1;186,774525569205;1
7248819;2;1;2;179,150555138048;3
7248819;1;1;1;179,150555138048;2
7248820;1;1;1;233,524193157138;4
7248820;2;1;2;233,524193157138;5
7248830;1;1;1;187,759402177554;3
7248835;1;1;1;223,991328495656;3
7248861;1;1;1;62,0880605757591;1
7248877;1;1;1;61,6374287252326;3
7248877;2;1;2;61,6374287252326;4
7248881;1;1;1;42,8837648242749;3
7248916;1;1;1;376,744693561203;3
7248936;1;1;1;34,5400429126471;4
7248951;1;1;1;230,786409008931;3
7249047;1;1;1;260,583976745958;3
7249058;1;1;1;74,1096326096803;1
7249070;1;1;1;540,818918473401;2
7249070;2;1;2;540,818918473401;3
7249070;3;1;3;540,818918473401;4
7249094;1;1;1;119,235256055935;3
7249094;2;1;2;119,235256055935;4
7249097;1;1;1;226,143487537;1
7249108;1;1;1;215,588918008761;3
7249108;2;1;2;215,588918008761;4
7249109;1;1;1;231,192020917637;3
7249109;2;1;2;231,192020917637;4
7249109;3;1;3;231,192020917637;5
7249110;1;1;1;217,178567201915;4
7249110;2;1;2;217,178567201915;5
7249114;1;1;1;222,726116139312;2
7249116;1;1;1;243,615825440203;3
7249117;1;1;1;223,535109224262;3
7249117;2;1;2;223,535109224262;4
7249117;3;1;3;223,535109224262;5
7249123;1;1;1;243,615825440203;2
7249132;1;1;1;223,245829702135;3
7249136;1;1;1;209,744888260532;3
7249142;1;1;1;246,283798879437;3
7249145;1;1;1;236,036800768704;3
7249152;1;1;1;221,292872411402;3
7249152;2;1;2;221,292872411402;4
7249152;3;1;3;221,292872411402;5
7249155;1;1;1;204,464740257686;5
7249155;2;1;2;204,464740257686;6
7249155;3;1;3;204,464740257686;7
7249157;1;1;1;227,412867102536;3
7249157;2;1;2;227,412867102536;4
7249184;1;1;1;397,325293147135;5
7249184;2;1;2;397,325293147135;6
7249187;1;1;1;545,565392282772;2
7249193;1;1;1;199,261956598275;3
7249237;1;1;1;173,614652122101;3
7249237;2;1;2;173,614652122101;4
7249239;1;1;1;134,46189144491;3
7249240;1;1;1;116,224904233686;4
7249240;2;1;2;116,224904233686;5
7249252;1;1;1;79,5584768253;2
7249252;2;1;2;79,5584768253;3
7249260;1;1;1;179,548456864536;5
7249269;1;1;1;146,823767271555;3
7249274;1;1;1;8,07159890607416;1
7249285;1;1;1;5,91521296560805;6
7249287;1;1;1;7,09828424193495;1
7249292;1;1;1;9,24248740407802;4
7249320;1;1;1;7,18200935357806;1
7249322;1;1;1;9,91686798541987;3
7249324;1;1;1;8,10699865527734;1
7249324;2;1;2;8,10699865527734;3
7249328;1;1;1;5,60035049127857;3
7249328;2;1;2;5,60035049127857;4
7249339;1;1;1;8,27095160817596;4
7249339;2;1;2;8,27095160817596;5
7249342;1;1;1;6,31184769617135;3
7249342;2;1;2;6,31184769617135;4
7249342;3;1;3;6,31184769617135;4
7249367;1;1;1;6,53815324388031;3
7249380;1;1;1;3,24876577200697;5
7249380;2;1;2;3,24876577200697;6
7249381;1;1;1;29,5637685252634;1
7249385;1;1;1;3,24876577200697;4
7249386;1;1;1;3,24876577200697;3
7249386;2;1;2;3,24876577200697;4
7249401;1;1;1;4,12153028518073;3
7249401;2;1;2;4,12153028518073;4
7249407;1;1;1;20,8798783433334;1
7249424;1;1;1;27,0023229620708;2
7249424;2;1;2;27,0023229620708;3
7249430;1;1;1;16,7849663070643;2
7249434;1;1;1;27,4865414618418;3
7249434;2;1;2;27,4865414618418;4
7249435;1;1;1;21,5894454679007;2
7249435;2;1;2;21,5894454679007;3
7249436;1;1;1;32,2910206226782;4
7249478;1;1;1;14,4768762521427;3
7249478;2;1;2;14,4768762521427;4
7249480;1;1;1;12,9274185353292;7
7249480;2;1;2;12,9274185353292;8
7249484;1;1;1;8,59966197368959;2
7249488;1;1;1;13,8978931902245;3
7249494;1;1;1;9,36397388245368;2
7249494;2;1;2;9,36397388245368;3
