DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P8692S3A1
7247320;1;1;1;437,324700828611;1
7247320;2;1;2;437,324700828611;3
7247320;3;1;3;437,324700828611;4
7247320;4;1;4;437,324700828611;5
7247392;1;1;1;321,931448140257;1
7247392;2;1;2;321,931448140257;2
7247495;1;1;1;193,234376125013;1
7247495;2;1;2;193,234376125013;2
7247532;1;1;1;19,5868825563926;1
7247532;2;1;2;19,5868825563926;2
7247533;1;1;1;12,4209598124994;1
7247533;2;1;2;12,4209598124994;2
7247566;1;1;1;16,0350151766741;1
7247566;2;1;2;16,0350151766741;2
7247567;1;1;1;13,4837621238998;1
7247567;2;1;2;13,4837621238998;2
7247570;1;1;1;12,1661723730362;1
7247570;2;1;2;12,1661723730362;2
7247652;1;1;1;182,430248586771;1
7247652;2;1;2;182,430248586771;2
7247683;1;1;1;149,022886882562;1
7247683;2;1;2;149,022886882562;2
7247708;1;1;1;140,062357314685;1
7247708;2;1;2;140,062357314685;2
7247749;1;1;1;307,531671955541;1
7247749;2;1;2;307,531671955541;2
7247753;1;1;1;295,803812708534;1
7247753;2;1;2;295,803812708534;2
7247777;1;1;1;111,080719801513;1
7247777;2;1;2;111,080719801513;2
7247806;1;1;1;104,272199286605;1
7247806;2;1;2;104,272199286605;2
7247831;1;1;1;56,8315488483804;1
7247831;2;1;2;56,8315488483804;2
7247875;1;1;1;91,6438480492786;1
7247875;2;1;2;91,6438480492786;2
7247882;1;1;1;102,811718380044;1
7247882;2;1;2;102,811718380044;4
7247891;1;1;1;44,2626218743023;1
7247891;2;1;2;44,2626218743023;2
7247919;1;1;1;127,619140611713;3
7247919;2;1;2;127,619140611713;4
7247919;3;1;3;127,619140611713;5
7247919;4;1;4;127,619140611713;6
7248003;1;1;1;213,82201002026;1
7248003;2;1;2;213,82201002026;2
7248063;1;1;1;221,301922000218;1
7248063;2;1;2;221,301922000218;2
7248101;1;1;1;111,498453794084;1
7248101;2;1;2;111,498453794084;2
7248117;1;1;1;103,306425384784;1
7248117;2;1;2;103,306425384784;2
7248134;1;1;1;1565,70028100299;1
7248134;2;1;2;1565,70028100299;2
7248142;1;1;1;1551,55695946545;1
7248142;2;1;2;1551,55695946545;2
7248144;1;1;1;1455,53047451387;1
7248144;2;1;2;1455,53047451387;2
7248145;1;1;1;1540,75747456665;1
7248145;2;1;2;1540,75747456665;2
7248153;1;1;1;1650,33415570567;1
7248153;2;1;2;1650,33415570567;2
7248176;1;1;1;578,449321647834;1
7248176;2;1;2;578,449321647834;2
7248208;1;1;1;470,834296242405;1
7248208;2;1;2;470,834296242405;2
7248219;2;1;2;677,873902147243;2
7248219;1;1;1;677,873902147243;1
7248243;1;1;1;480,651258059193;1
7248243;2;1;2;480,651258059193;2
7248268;1;1;1;75,6244794840011;1
7248268;2;1;2;75,6244794840011;3
7248268;3;1;3;75,6244794840011;4
7248268;4;1;4;75,6244794840011;5
7248268;5;1;5;75,6244794840011;6
7248280;1;1;1;53,7439351348347;1
7248280;2;1;2;53,7439351348347;2
7248280;3;1;3;53,7439351348347;3
7248280;4;1;4;53,7439351348347;4
7248306;1;1;1;88,1431344336777;1
7248306;2;1;2;88,1431344336777;2
7248306;3;1;3;88,1431344336777;3
7248345;1;1;1;156,40957736793;1
7248345;2;1;2;156,40957736793;2
7248362;1;1;1;152,140248647715;1
7248362;2;1;2;152,140248647715;2
7248392;1;1;1;143,446281392394;1
7248392;2;1;2;143,446281392394;2
7248444;1;1;1;154,923248368353;1
7248444;2;1;2;154,923248368353;2
7248494;1;1;1;99,6497818322242;1
7248494;2;1;2;99,6497818322242;2
7248498;1;1;1;103,214844545521;1
7248498;2;1;2;103,214844545521;2
7248506;1;1;1;103,814294629008;1
7248506;2;1;2;103,814294629008;2
7248511;1;1;1;119,805703896511;1
7248511;2;1;2;119,805703896511;2
7248512;1;1;1;120,582308267377;1
7248512;2;1;2;120,582308267377;2
7248554;1;1;1;113,010979368232;1
7248554;2;1;2;113,010979368232;2
7248575;1;1;1;38,4726819017275;1
7248575;2;1;2;38,4726819017275;2
7248627;1;1;1;176,911251522367;1
7248627;2;1;2;176,911251522367;2
7248657;1;1;1;55,1705146891157;1
7248657;2;1;2;55,1705146891157;2
7248669;1;1;1;44,36401282913;1
7248669;2;1;2;44,36401282913;2
7248673;1;1;1;55,1705146891157;1
7248673;2;1;2;55,1705146891157;2
7248682;1;1;1;27,1867616959016;3
7248682;2;1;2;27,1867616959016;4
7248683;1;1;1;44,36401282913;1
7248683;2;1;2;44,36401282913;2
7248690;1;1;1;40,7995355871436;1
7248690;2;1;2;40,7995355871436;2
7248727;1;1;1;145,685339347305;1
7248727;2;1;2;145,685339347305;2
7248796;1;1;1;163,640791027201;1
7248796;2;1;2;163,640791027201;2
7248806;1;1;1;144,758101078693;1
7248806;2;1;2;144,758101078693;2
7248806;3;1;3;144,758101078693;3
7248820;1;1;1;233,524193157138;1
7248820;2;1;2;233,524193157138;2
7248820;3;1;3;233,524193157138;3
7248820;4;1;4;233,524193157138;4
7248820;5;1;5;233,524193157138;5
7248821;1;1;1;175,362270716334;1
7248821;2;1;2;175,362270716334;3
7248821;3;1;3;175,362270716334;4
7248823;1;1;1;217,378695206845;1
7248823;2;1;2;217,378695206845;2
7248829;1;1;1;207,781357944394;1
7248829;2;1;2;207,781357944394;2
7248829;3;1;3;207,781357944394;3
7248831;1;1;1;224,936264096644;1
7248831;2;1;2;224,936264096644;2
7248851;1;1;1;42,0213821413969;1
7248851;2;1;2;42,0213821413969;2
7248898;1;1;1;297,9018695284;1
7248898;2;1;2;297,9018695284;2
7248906;1;1;1;282,785464295414;1
7248906;2;1;2;282,785464295414;2
7248906;3;1;3;282,785464295414;3
7248930;1;1;1;362,639035077806;1
7248930;2;1;2;362,639035077806;2
7248930;3;1;3;362,639035077806;3
7248932;4;1;4;336,896801590022;4
7248932;1;1;1;336,896801590022;1
7248932;2;1;2;336,896801590022;2
7248932;3;1;3;336,896801590022;3
7248948;1;1;1;241,969014160473;5
7248948;2;1;2;241,969014160473;6
7248951;1;1;1;230,786409008931;1
7248951;2;1;2;230,786409008931;2
7248951;3;1;3;230,786409008931;3
7248982;1;1;1;232,638632747887;1
7248982;2;1;2;232,638632747887;2
7248982;3;1;3;232,638632747887;3
7248983;1;1;1;207,029611816867;1
7248983;2;1;2;207,029611816867;2
7248990;1;1;1;242,541151111515;1
7248990;2;1;2;242,541151111515;2
7249036;1;1;1;278,351215174397;1
7249036;2;1;2;278,351215174397;2
7249110;1;1;1;217,178567201915;1
7249110;2;1;2;217,178567201915;4
7249113;1;1;1;223,612996246137;1
7249113;2;1;2;223,612996246137;4
7249117;1;1;1;223,535109224262;1
7249117;2;1;2;223,535109224262;2
7249117;3;1;3;223,535109224262;3
7249117;4;1;4;223,535109224262;4
7249117;5;1;5;223,535109224262;5
7249117;6;1;6;223,535109224262;6
7249128;1;1;1;185,578738940097;1
7249128;2;1;2;185,578738940097;2
7249173;1;1;1;1077,75498030812;1
7249173;2;1;2;1077,75498030812;2
7249180;1;1;1;906,364826228492;1
7249180;2;1;2;906,364826228492;2
7249201;1;1;1;809,457062437734;1
7249201;2;1;2;809,457062437734;2
7249221;1;1;1;179,503771041512;1
7249221;2;1;2;179,503771041512;2
7249223;1;1;1;197,408914677314;1
7249223;2;1;2;197,408914677314;2
7249236;1;1;1;170,112241942169;1
7249236;2;1;2;170,112241942169;2
7249248;1;1;1;147,631332254876;1
7249248;2;1;2;147,631332254876;2
7249252;1;1;1;79,5584768253;6
7249252;2;1;2;79,5584768253;7
7249290;2;1;2;6,47929791945755;2
7249290;1;1;1;6,47929791945755;1
7249306;1;1;1;8,10699865527734;1
7249306;2;1;2;8,10699865527734;2
7249346;1;1;1;4,83180310450933;1
7249346;2;1;2;4,83180310450933;2
7249413;1;1;1;26,8781431285081;1
7249413;2;1;2;26,8781431285081;2
7249511;1;1;1;11,068739577191;1
7249511;2;1;2;11,068739577191;2
7249547;1;1;1;11,4763863350171;1
7249547;2;1;2;11,4763863350171;2
7249563;1;1;1;11,111340017851;1
7249563;2;1;2;11,111340017851;2
7249563;3;1;3;11,111340017851;3
7249684;1;1;1;7,26351306396392;1
7249684;2;1;2;7,26351306396392;2
7249698;1;1;1;7,29828588747433;1
7249698;2;1;2;7,29828588747433;2
7249727;1;1;1;10,5372518697432;1
7249727;2;1;2;10,5372518697432;2
7249727;3;1;3;10,5372518697432;3
7249752;1;1;1;5,60125102746828;1
7249752;2;1;2;5,60125102746828;2
7249755;1;1;1;5,60125102746828;1
7249755;2;1;2;5,60125102746828;2
7249865;1;1;1;5,60125102746828;1
7249865;2;1;2;5,60125102746828;2
7249866;1;1;1;5,60125102746828;1
7249866;2;1;2;5,60125102746828;2
7249868;1;1;1;5,60125102746828;1
7249868;2;1;2;5,60125102746828;2
7249893;1;1;1;90,9765819173403;1
7249893;2;1;2;90,9765819173403;2
7249897;1;1;1;84,8040807462657;1
7249897;2;1;2;84,8040807462657;2
7249897;3;1;3;84,8040807462657;3
7249899;1;1;1;117,293520426692;1
7249899;2;1;2;117,293520426692;2
7249899;3;1;3;117,293520426692;3
7249899;4;1;4;117,293520426692;4
7249909;1;1;1;46,1375570781916;1
7249909;2;1;2;46,1375570781916;2
7249952;1;1;1;474,996848899983;1
7249952;2;1;2;474,996848899983;2
7249966;1;1;1;369,53381965015;1
7249966;2;1;2;369,53381965015;2
7250031;1;1;1;317,16165160862;1
7250031;2;1;2;317,16165160862;2
7250031;3;1;3;317,16165160862;3
7250034;1;1;1;319,27285669544;1
7250034;2;1;2;319,27285669544;2
7250070;1;1;1;304,985802421276;1
7250070;2;1;2;304,985802421276;2
7250075;1;1;1;191,552369259373;4
7250075;2;1;2;191,552369259373;5
7250097;1;1;1;128,605794852781;1
7250097;2;1;2;128,605794852781;2
7250100;1;1;1;121,476406113353;1
7250100;2;1;2;121,476406113353;2
7250111;1;1;1;81,1118523210807;1
7250111;2;1;2;81,1118523210807;2
7250114;1;1;1;146,934956698799;1
7250114;2;1;2;146,934956698799;2
7250157;1;1;1;51,8760455976639;1
7250157;2;1;2;51,8760455976639;2
7250207;1;1;1;213,239796447437;1
7250207;2;1;2;213,239796447437;2
7250227;1;1;1;216,971159518555;1
7250227;2;1;2;216,971159518555;2
7250232;1;1;1;216,971159518555;1
7250232;2;1;2;216,971159518555;2
7250280;1;1;1;153,236319046949;1
7250280;2;1;2;153,236319046949;2
