"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
71,7247300,1
67,7247300,2
64,7247300,3
84,7247301,1
76,7247301,2
75,7247302,6
74,7247310,1
73,7247310,2
81,7247311,1
64,7247312,1
83,7247312,5
80,7247312,6
79,7247312,7
94,7247323,1
65,7247323,2
68,7247324,1
63,7247328,1
61,7247328,2
67,7247329,1
68,7247335,1
63,7247335,2
64,7247344,4
66,7247355,3
70,7247356,1
66,7247369,1
82,7247375,5
66,7247377,1
61,7247377,2
87,7247379,1
66,7247382,1
67,7247382,2
75,7247388,1
60,7247388,2
67,7247391,1
65,7247391,2
65,7247392,1
71,7247392,2
60,7247394,1
68,7247402,1
66,7247423,1
70,7247425,1
63,7247425,2
65,7247439,1
60,7247444,1
74,7247444,3
82,7247458,1
73,7247458,2
84,7247467,1
79,7247467,2
65,7247473,1
63,7247474,1
63,7247484,1
60,7247487,1
96,7247487,4
83,7247489,1
76,7247489,2
71,7247493,1
72,7247493,2
66,7247495,1
66,7247506,1
62,7247506,2
64,7247509,1
84,7247510,3
61,7247517,1
60,7247518,1
60,7247520,1
68,7247538,1
73,7247541,1
73,7247541,2
63,7247546,1
71,7247546,2
61,7247549,1
63,7247549,2
75,7247550,1
63,7247551,2
70,7247552,1
77,7247553,1
65,7247553,2
60,7247558,1
66,7247560,1
66,7247560,2
61,7247570,1
69,7247578,1
60,7247584,1
73,7247585,1
67,7247600,1
60,7247600,2
64,7247615,1
65,7247617,2
74,7247621,8
68,7247626,1
70,7247637,1
65,7247637,2
62,7247641,1
62,7247647,2
62,7247653,2
65,7247657,1
71,7247657,2
87,7247658,2
71,7247659,1
64,7247660,1
70,7247662,1
65,7247662,2
67,7247665,1
68,7247665,2
74,7247666,1
63,7247668,1
80,7247671,1
60,7247671,2
64,7247672,1
69,7247673,6
65,7247679,1
70,7247679,2
65,7247681,5
61,7247683,2
66,7247684,1
84,7247686,1
75,7247686,2
72,7247693,1
66,7247693,2
80,7247698,8
71,7247702,1
65,7247702,2
75,7247708,1
72,7247708,2
69,7247710,1
60,7247717,1
71,7247722,1
63,7247722,2
60,7247730,2
60,7247731,2
60,7247746,1
87,7247746,4
65,7247746,5
80,7247747,1
63,7247748,1
62,7247748,2
67,7247749,1
65,7247749,2
64,7247752,1
62,7247758,1
63,7247763,1
60,7247763,2
79,7247769,1
69,7247769,2
75,7247771,3
97,7247775,7
75,7247777,1
70,7247777,2
61,7247778,1
71,7247781,1
73,7247787,1
66,7247787,2
69,7247788,1
61,7247788,2
88,7247790,1
66,7247790,2
76,7247793,1
67,7247793,2
65,7247794,5
67,7247797,1
67,7247806,1
65,7247806,2
82,7247809,1
73,7247810,1
62,7247814,1
60,7247817,1
83,7247818,5
75,7247819,1
74,7247820,1
72,7247820,2
75,7247821,4
65,7247822,1
74,7247823,1
82,7247826,1
66,7247835,1
73,7247835,2
62,7247836,1
64,7247841,1
67,7247845,1
63,7247847,1
74,7247849,1
67,7247849,2
82,7247851,2
69,7247856,1
72,7247856,2
61,7247859,1
77,7247861,1
69,7247861,2
63,7247862,1
62,7247862,2
65,7247866,1
62,7247869,1
72,7247873,5
74,7247875,1
62,7247875,2
74,7247880,1
68,7247880,2
64,7247882,1
61,7247882,2
63,7247882,4
68,7247885,1
70,7247885,2
61,7247891,1
73,7247891,2
67,7247892,1
64,7247892,2
60,7247892,3
66,7247895,2
72,7247896,1
78,7247897,1
60,7247898,1
68,7247898,2
79,7247900,6
71,7247905,1
76,7247905,5
64,7247907,1
63,7247909,3
65,7247915,1
65,7247922,1
65,7247926,1
61,7247927,1
70,7247930,1
61,7247930,2
62,7247931,1
60,7247932,1
84,7247937,1
66,7247938,1
74,7247938,2
60,7247940,1
63,7247940,3
79,7247944,1
68,7247950,1
60,7247954,1
71,7247956,1
65,7247958,1
78,7247958,2
75,7247959,4
68,7247962,3
74,7247963,1
60,7247978,1
60,7247979,1
62,7247979,2
75,7247980,1
72,7247980,2
65,7247982,1
63,7247986,1
88,7247987,1
78,7247987,2
64,7247993,1
61,7247994,1
95,7247994,2
73,7247998,7
62,7248000,1
80,7248000,2
70,7248003,1
79,7248003,2
67,7248004,1
82,7248004,2
63,7248007,1
65,7248009,1
60,7248009,2
70,7248019,1
79,7248022,1
79,7248022,2
74,7248025,1
72,7248025,2
86,7248033,1
75,7248035,1
80,7248039,1
75,7248048,1
72,7248048,2
62,7248049,1
77,7248063,1
65,7248063,2
67,7248064,1
70,7248064,2
68,7248066,1
69,7248068,1
68,7248088,1
65,7248088,2
68,7248090,1
82,7248090,2
78,7248094,2
66,7248094,3
61,7248094,4
83,7248097,1
67,7248101,1
62,7248101,2
70,7248108,2
73,7248111,1
64,7248111,2
80,7248112,3
63,7248115,1
82,7248115,2
72,7248117,1
69,7248117,2
85,7248117,3
68,7248121,1
89,7248125,1
83,7248125,2
66,7248126,1
64,7248127,2
67,7248138,1
61,7248142,2
69,7248144,1
65,7248144,2
61,7248147,2
81,7248171,1
77,7248172,4
93,7248173,5
61,7248174,1
62,7248174,2
63,7248176,1
65,7248177,1
69,7248177,2
82,7248179,4
91,7248183,1
76,7248185,1
67,7248185,2
68,7248187,3
62,7248191,1
60,7248195,1
84,7248198,1
84,7248198,2
66,7248206,1
64,7248206,2
64,7248225,1
63,7248229,1
63,7248229,2
65,7248232,1
70,7248232,2
61,7248234,2
62,7248242,5
68,7248243,1
60,7248243,2
70,7248247,5
80,7248250,1
74,7248250,2
66,7248253,1
91,7248253,2
69,7248264,1
69,7248266,1
67,7248266,2
68,7248269,1
61,7248270,1
71,7248272,1
70,7248280,5
63,7248287,1
60,7248288,2
64,7248291,1
73,7248304,1
61,7248304,2
70,7248310,1
65,7248314,1
63,7248315,1
70,7248322,2
68,7248334,1
65,7248334,2
66,7248339,1
84,7248340,9
64,7248342,7
92,7248343,1
84,7248343,2
73,7248344,1
71,7248345,1
72,7248345,2
73,7248347,1
68,7248348,1
77,7248356,1
81,7248364,1
76,7248366,1
81,7248367,1
86,7248374,1
69,7248378,1
74,7248381,1
62,7248383,1
69,7248385,1
63,7248385,2
66,7248385,5
76,7248388,1
72,7248388,2
63,7248391,1
66,7248395,1
66,7248398,1
68,7248398,2
64,7248403,5
61,7248408,1
79,7248412,4
68,7248413,4
83,7248419,1
76,7248423,1
64,7248427,1
61,7248430,1
60,7248430,2
65,7248431,1
60,7248433,4
76,7248437,1
76,7248438,4
77,7248443,1
89,7248445,1
61,7248455,4
62,7248462,1
81,7248465,1
78,7248466,1
78,7248466,2
73,7248468,1
71,7248469,1
62,7248470,2
66,7248473,1
69,7248490,1
66,7248490,2
77,7248491,1
67,7248491,2
73,7248492,1
70,7248493,1
61,7248498,2
67,7248502,1
62,7248502,2
79,7248504,1
75,7248504,2
69,7248505,1
61,7248505,2
62,7248507,5
64,7248514,1
64,7248522,1
64,7248527,1
78,7248528,1
61,7248532,1
70,7248533,1
75,7248534,1
60,7248538,1
82,7248538,2
72,7248539,1
80,7248540,1
69,7248541,1
72,7248541,2
73,7248542,1
72,7248542,2
67,7248545,1
67,7248545,2
69,7248550,1
85,7248552,2
79,7248554,1
77,7248554,2
60,7248556,1
77,7248557,1
72,7248557,2
81,7248559,1
73,7248561,1
78,7248561,2
71,7248563,2
70,7248564,1
74,7248566,5
74,7248567,1
68,7248567,2
82,7248568,1
69,7248568,2
86,7248571,5
81,7248572,1
89,7248574,1
84,7248575,1
84,7248575,2
62,7248578,1
61,7248579,1
70,7248580,1
69,7248580,2
61,7248582,1
64,7248583,1
86,7248591,1
73,7248591,2
86,7248593,2
86,7248593,3
78,7248596,2
68,7248598,1
71,7248598,2
85,7248600,1
65,7248601,1
62,7248601,2
83,7248602,1
70,7248602,2
71,7248603,1
68,7248603,2
77,7248604,1
63,7248604,2
80,7248604,4
80,7248606,1
69,7248609,1
78,7248610,1
68,7248610,2
63,7248611,1
60,7248611,2
61,7248618,1
75,7248619,1
60,7248621,1
70,7248623,1
76,7248623,2
60,7248624,1
60,7248625,1
81,7248626,1
63,7248626,2
75,7248634,1
80,7248635,1
81,7248635,2
77,7248637,1
63,7248640,1
62,7248640,2
77,7248641,1
71,7248641,2
74,7248646,1
71,7248646,2
78,7248648,2
83,7248651,1
77,7248654,1
79,7248655,1
62,7248656,1
70,7248657,1
68,7248661,1
68,7248663,1
64,7248663,2
60,7248664,1
64,7248666,2
64,7248667,1
64,7248668,1
67,7248669,2
85,7248670,1
81,7248674,1
81,7248674,2
60,7248675,1
87,7248676,1
69,7248677,5
67,7248679,1
64,7248679,2
79,7248680,1
69,7248682,3
62,7248682,4
63,7248683,1
70,7248684,1
77,7248688,1
75,7248688,2
69,7248689,1
64,7248689,2
65,7248693,1
71,7248694,4
70,7248697,1
64,7248699,1
60,7248699,2
72,7248701,1
66,7248702,1
63,7248702,2
60,7248703,3
83,7248704,1
79,7248705,1
62,7248708,1
86,7248710,1
85,7248710,2
62,7248711,1
68,7248711,2
68,7248713,1
64,7248713,2
64,7248714,1
65,7248715,1
81,7248716,2
82,7248720,1
62,7248722,1
66,7248723,1
67,7248724,1
66,7248726,1
69,7248727,1
60,7248727,2
69,7248729,1
60,7248730,1
60,7248732,1
70,7248733,1
66,7248735,1
70,7248736,1
75,7248737,1
66,7248739,2
77,7248740,1
76,7248742,1
72,7248742,2
63,7248743,1
78,7248745,1
79,7248745,2
96,7248746,1
69,7248746,2
74,7248747,1
65,7248749,1
67,7248753,1
69,7248756,1
63,7248759,1
68,7248759,2
73,7248764,1
74,7248764,2
65,7248765,1
72,7248765,2
62,7248768,1
66,7248768,2
86,7248769,1
87,7248769,2
86,7248770,1
64,7248772,1
84,7248777,1
77,7248780,1
82,7248781,1
63,7248782,1
62,7248782,2
66,7248786,1
61,7248786,2
65,7248793,1
60,7248793,2
73,7248794,1
67,7248795,8
64,7248795,9
74,7248801,1
67,7248801,2
71,7248802,1
69,7248804,1
68,7248804,2
66,7248808,5
67,7248811,1
66,7248813,1
71,7248815,1
73,7248818,1
77,7248818,2
64,7248825,2
61,7248834,1
63,7248834,2
67,7248843,1
60,7248844,1
75,7248848,1
76,7248849,2
69,7248850,1
93,7248851,1
69,7248852,1
65,7248853,1
79,7248861,1
72,7248862,1
66,7248868,1
67,7248870,1
61,7248871,1
75,7248878,1
78,7248880,1
60,7248884,1
64,7248886,1
83,7248886,2
66,7248892,3
74,7248896,1
62,7248899,1
60,7248900,5
71,7248901,1
67,7248903,1
63,7248906,4
67,7248907,1
60,7248907,2
67,7248908,1
75,7248909,4
67,7248912,1
82,7248913,1
69,7248914,1
64,7248918,1
93,7248918,2
68,7248919,1
70,7248924,1
67,7248925,1
85,7248929,4
62,7248931,1
77,7248937,2
67,7248944,1
63,7248944,2
61,7248945,1
65,7248948,5
76,7248949,1
72,7248949,2
63,7248949,3
83,7248951,4
76,7248952,1
76,7248952,2
60,7248953,1
74,7248956,1
74,7248958,1
61,7248959,1
73,7248963,2
61,7248965,1
71,7248970,1
64,7248971,1
61,7248971,2
68,7248972,1
75,7248972,2
70,7248972,3
83,7248974,1
71,7248976,1
66,7248976,2
84,7248980,1
61,7248983,4
67,7248987,1
62,7248987,2
73,7248988,1
69,7248989,1
68,7248990,1
68,7248990,2
63,7248990,3
60,7248992,2
79,7248993,1
63,7248995,1
68,7248999,1
61,7248999,2
69,7249000,1
68,7249000,2
68,7249002,1
62,7249003,1
63,7249003,2
86,7249006,2
62,7249008,1
61,7249008,2
64,7249009,3
77,7249012,1
76,7249012,2
86,7249014,1
66,7249016,1
70,7249016,7
69,7249019,3
88,7249020,4
61,7249020,5
72,7249022,1
60,7249022,2
83,7249023,1
76,7249024,1
61,7249025,1
67,7249026,1
65,7249028,1
82,7249029,1
68,7249030,1
60,7249032,1
63,7249034,1
63,7249035,1
66,7249035,2
82,7249040,6
71,7249041,1
69,7249043,1
64,7249044,1
79,7249045,1
67,7249046,1
70,7249048,1
73,7249048,2
89,7249049,1
62,7249049,2
67,7249052,1
76,7249055,5
71,7249057,4
60,7249078,1
70,7249080,1
61,7249080,2
76,7249081,1
91,7249083,1
62,7249084,1
66,7249085,1
64,7249088,1
66,7249088,2
62,7249096,1
60,7249100,1
67,7249106,1
72,7249107,1
74,7249114,1
62,7249124,1
65,7249127,2
76,7249128,1
61,7249128,2
62,7249136,1
64,7249143,1
61,7249143,2
62,7249144,1
82,7249146,1
78,7249146,2
76,7249147,1
63,7249148,1
77,7249149,1
72,7249154,1
73,7249154,2
64,7249155,1
61,7249155,2
70,7249156,1
69,7249156,2
72,7249161,1
66,7249162,1
63,7249164,1
62,7249165,1
60,7249165,2
72,7249171,4
65,7249172,1
86,7249178,1
68,7249180,4
73,7249184,1
82,7249185,1
60,7249186,1
61,7249186,2
60,7249190,1
72,7249193,1
61,7249197,1
61,7249202,1
63,7249203,1
76,7249205,1
79,7249205,2
78,7249208,1
60,7249209,1
62,7249215,1
78,7249216,1
68,7249216,2
91,7249216,3
62,7249217,1
78,7249218,1
80,7249221,1
84,7249221,2
71,7249222,1
64,7249224,1
90,7249224,2
78,7249229,5
69,7249232,4
65,7249233,1
82,7249246,1
76,7249246,2
86,7249248,1
70,7249248,2
64,7249251,1
83,7249251,2
75,7249252,7
70,7249254,1
72,7249257,1
68,7249257,2
61,7249258,1
72,7249262,1
74,7249262,2
60,7249263,1
73,7249263,2
