"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
71,7247300,1,"7247300-1",1,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,NA
67,7247300,2,"7247300-2",2,NA,NA,NA,NA,2,2,2,NA,2,NA,2,NA,NA,NA
64,7247300,3,"7247300-3",3,NA,NA,NA,NA,3,3,3,NA,3,NA,3,NA,NA,NA
84,7247301,1,"7247301-1",4,NA,NA,2,2,4,4,26,2,4,2,4,NA,2,NA
76,7247301,2,"7247301-2",5,NA,NA,NA,NA,5,5,12,NA,5,NA,5,NA,NA,NA
75,7247302,6,"7247302-6",11,NA,NA,NA,NA,11,10,32,NA,11,NA,11,NA,NA,NA
74,7247310,1,"7247310-1",25,NA,NA,8,8,23,19,97,8,25,8,23,NA,8,NA
73,7247310,2,"7247310-2",26,NA,NA,NA,NA,24,20,98,NA,26,NA,24,NA,NA,NA
81,7247311,1,"7247311-1",29,NA,NA,9,9,27,23,110,9,29,9,27,NA,9,NA
64,7247312,1,"7247312-1",35,NA,NA,11,10,33,29,134,11,35,11,33,NA,11,NA
83,7247312,5,"7247312-5",39,NA,NA,NA,NA,36,32,NA,NA,39,NA,36,NA,NA,NA
80,7247312,6,"7247312-6",40,NA,NA,NA,NA,37,33,NA,NA,40,NA,37,NA,NA,NA
79,7247312,7,"7247312-7",41,NA,NA,NA,NA,38,34,NA,NA,41,NA,38,NA,NA,NA
94,7247323,1,"7247323-1",59,NA,NA,17,16,56,51,206,17,59,17,56,NA,17,NA
65,7247323,2,"7247323-2",60,NA,NA,NA,NA,57,52,207,NA,60,NA,57,NA,NA,NA
68,7247324,1,"7247324-1",63,NA,NA,18,17,60,55,221,18,63,18,60,NA,18,NA
63,7247328,1,"7247328-1",67,1,NA,19,18,64,59,232,19,67,19,64,NA,19,NA
61,7247328,2,"7247328-2",68,NA,NA,NA,NA,65,60,233,NA,68,NA,65,NA,NA,NA
67,7247329,1,"7247329-1",71,NA,NA,20,19,68,63,247,20,71,20,68,NA,20,NA
68,7247335,1,"7247335-1",88,NA,NA,24,23,83,74,275,24,88,24,83,NA,24,NA
63,7247335,2,"7247335-2",89,NA,NA,NA,NA,84,75,276,NA,89,NA,84,NA,NA,NA
64,7247344,4,"7247344-4",110,NA,NA,NA,NA,105,93,320,NA,110,NA,105,NA,NA,NA
66,7247355,3,"7247355-3",137,NA,NA,NA,NA,127,113,410,NA,137,NA,127,NA,NA,NA
70,7247356,1,"7247356-1",139,NA,NA,38,37,129,115,419,38,139,38,129,NA,38,NA
66,7247369,1,"7247369-1",176,NA,NA,48,46,162,143,549,48,176,48,162,NA,48,NA
82,7247375,5,"7247375-5",199,NA,NA,NA,NA,180,159,602,NA,199,NA,180,NA,NA,NA
66,7247377,1,"7247377-1",202,NA,5,55,53,183,162,622,55,202,55,183,NA,55,NA
61,7247377,2,"7247377-2",203,NA,NA,NA,NA,184,163,623,NA,203,NA,184,NA,NA,NA
87,7247379,1,"7247379-1",209,NA,NA,57,55,188,167,645,57,209,57,188,NA,57,NA
66,7247382,1,"7247382-1",219,NA,NA,59,57,197,175,663,59,219,59,197,NA,59,NA
67,7247382,2,"7247382-2",220,NA,NA,NA,NA,198,176,664,NA,220,NA,198,NA,NA,NA
75,7247388,1,"7247388-1",232,NA,NA,63,61,209,184,705,63,232,63,209,NA,63,NA
60,7247388,2,"7247388-2",233,NA,NA,NA,NA,210,185,706,NA,233,NA,210,NA,NA,NA
67,7247391,1,"7247391-1",239,NA,NA,66,64,216,191,737,66,239,66,216,NA,66,NA
65,7247391,2,"7247391-2",240,NA,NA,NA,NA,217,192,732,NA,240,NA,217,NA,NA,NA
65,7247392,1,"7247392-1",242,NA,NA,67,65,219,194,738,67,242,67,219,5,67,NA
71,7247392,2,"7247392-2",243,NA,NA,NA,NA,220,195,739,NA,243,NA,220,6,NA,NA
60,7247394,1,"7247394-1",249,NA,NA,69,67,226,201,766,69,249,69,226,NA,69,NA
68,7247402,1,"7247402-1",262,NA,NA,74,72,237,210,802,74,262,74,237,NA,74,NA
66,7247423,1,"7247423-1",311,NA,NA,90,88,280,249,952,90,311,90,280,NA,90,NA
70,7247425,1,"7247425-1",320,NA,NA,92,90,287,255,957,92,320,92,287,NA,92,NA
63,7247425,2,"7247425-2",321,NA,NA,NA,NA,288,256,958,NA,321,NA,288,NA,NA,NA
65,7247439,1,"7247439-1",356,NA,NA,104,102,320,287,1023,104,356,104,320,NA,104,NA
60,7247444,1,"7247444-1",371,NA,NA,108,106,332,295,1060,108,371,108,332,NA,108,NA
74,7247444,3,"7247444-3",373,NA,NA,NA,NA,334,297,NA,NA,373,NA,334,NA,NA,NA
82,7247458,1,"7247458-1",400,NA,NA,118,116,357,318,1180,118,400,118,357,NA,118,NA
73,7247458,2,"7247458-2",401,NA,NA,NA,NA,358,319,1181,NA,401,NA,358,NA,NA,NA
84,7247467,1,"7247467-1",428,NA,NA,126,124,382,336,1267,126,428,126,382,NA,126,NA
79,7247467,2,"7247467-2",429,NA,NA,NA,NA,383,337,1268,NA,429,NA,383,NA,NA,NA
65,7247473,1,"7247473-1",459,NA,NA,132,130,410,362,1343,132,459,132,410,NA,132,NA
63,7247474,1,"7247474-1",463,NA,NA,133,131,414,366,1355,133,463,133,414,NA,133,NA
63,7247484,1,"7247484-1",475,NA,NA,140,138,426,377,1441,140,475,140,426,NA,140,NA
60,7247487,1,"7247487-1",479,NA,NA,142,140,430,380,1456,142,479,142,430,NA,142,NA
96,7247487,4,"7247487-4",482,NA,NA,NA,NA,433,382,1459,NA,482,NA,433,NA,NA,NA
83,7247489,1,"7247489-1",483,NA,NA,143,141,434,383,1470,143,483,143,434,NA,143,NA
76,7247489,2,"7247489-2",484,NA,NA,NA,NA,435,384,1471,NA,484,NA,435,NA,NA,NA
71,7247493,1,"7247493-1",494,NA,18,147,145,444,392,1511,147,494,147,444,NA,147,NA
72,7247493,2,"7247493-2",495,NA,NA,NA,NA,445,393,1512,NA,495,NA,445,NA,NA,NA
66,7247495,1,"7247495-1",502,NA,19,149,147,452,399,1535,149,502,149,452,7,149,NA
66,7247506,1,"7247506-1",548,NA,NA,159,157,495,431,1643,159,548,159,495,NA,159,NA
62,7247506,2,"7247506-2",549,NA,NA,NA,NA,496,432,1644,NA,549,NA,496,NA,NA,NA
64,7247509,1,"7247509-1",555,6,28,162,160,501,437,1677,162,555,162,501,NA,162,NA
84,7247510,3,"7247510-3",564,NA,NA,NA,NA,509,443,1692,NA,564,NA,509,NA,NA,NA
61,7247517,1,"7247517-1",583,NA,NA,169,167,526,458,1772,169,583,169,526,NA,169,NA
60,7247518,1,"7247518-1",586,8,NA,170,168,529,461,1773,170,586,170,529,NA,170,NA
60,7247520,1,"7247520-1",591,10,NA,172,170,534,466,1799,172,591,172,534,NA,172,NA
68,7247538,1,"7247538-1",635,NA,NA,186,184,572,502,1976,186,635,186,572,NA,186,NA
73,7247541,1,"7247541-1",641,NA,NA,188,186,578,507,1992,188,641,188,578,NA,188,NA
73,7247541,2,"7247541-2",642,NA,NA,NA,NA,579,508,1993,NA,642,NA,579,NA,NA,NA
63,7247546,1,"7247546-1",651,NA,NA,192,190,587,515,NA,192,651,192,587,NA,192,NA
71,7247546,2,"7247546-2",652,NA,NA,NA,NA,588,516,NA,NA,652,NA,588,NA,NA,NA
61,7247549,1,"7247549-1",657,NA,NA,194,192,593,520,2014,194,657,194,593,NA,194,NA
63,7247549,2,"7247549-2",658,NA,NA,NA,NA,594,521,2015,NA,658,NA,594,NA,NA,NA
75,7247550,1,"7247550-1",659,NA,NA,195,193,595,522,2016,195,659,195,595,NA,195,NA
63,7247551,2,"7247551-2",662,NA,NA,NA,NA,598,525,2024,NA,662,NA,598,NA,NA,NA
70,7247552,1,"7247552-1",664,NA,NA,197,195,600,527,2028,197,664,197,600,NA,197,NA
77,7247553,1,"7247553-1",666,NA,NA,198,196,602,529,2038,198,666,198,602,NA,198,NA
65,7247553,2,"7247553-2",667,NA,NA,NA,NA,603,530,2039,NA,667,NA,603,NA,NA,NA
60,7247558,1,"7247558-1",672,NA,NA,200,198,608,534,NA,200,672,200,608,NA,200,NA
66,7247560,1,"7247560-1",673,NA,NA,201,199,609,535,2041,201,673,201,609,NA,201,NA
66,7247560,2,"7247560-2",674,NA,NA,NA,NA,610,536,2042,NA,674,NA,610,NA,NA,NA
61,7247570,1,"7247570-1",688,NA,NA,206,204,622,548,2111,206,688,206,622,17,206,NA
69,7247578,1,"7247578-1",711,NA,NA,214,212,644,568,2170,214,711,214,644,NA,214,NA
60,7247584,1,"7247584-1",722,NA,NA,220,218,655,579,2240,220,722,220,655,NA,220,NA
73,7247585,1,"7247585-1",724,NA,NA,221,219,657,581,2246,221,724,221,657,NA,221,NA
67,7247600,1,"7247600-1",736,NA,NA,226,224,668,591,2292,226,736,226,668,NA,226,NA
60,7247600,2,"7247600-2",737,NA,NA,NA,NA,669,592,2293,NA,737,NA,669,NA,NA,NA
64,7247615,1,"7247615-1",752,NA,40,229,227,683,604,2325,229,752,229,683,NA,229,NA
65,7247617,2,"7247617-2",758,NA,NA,NA,NA,689,610,2348,NA,758,NA,689,NA,NA,NA
74,7247621,8,"7247621-8",767,NA,NA,NA,NA,698,617,2363,NA,767,NA,698,NA,NA,NA
68,7247626,1,"7247626-1",768,NA,NA,233,231,699,618,2368,233,768,233,699,NA,233,NA
70,7247637,1,"7247637-1",786,NA,NA,238,236,716,632,2415,238,786,238,716,NA,238,NA
65,7247637,2,"7247637-2",787,NA,NA,NA,NA,717,633,2416,NA,787,NA,717,NA,NA,NA
62,7247641,1,"7247641-1",793,NA,NA,241,239,722,638,2430,241,793,241,722,NA,241,NA
62,7247647,2,"7247647-2",815,NA,NA,NA,NA,743,654,2460,NA,815,NA,743,NA,NA,NA
