"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
7,7247302,5
10,7247303,4
8,7247304,3
0,7247304,4
7,7247307,2
2,7247309,3
1,7247312,3
6,7247320,5
7,7247331,3
2,7247331,4
0,7247331,5
8,7247332,3
9,7247333,3
6,7247333,4
9,7247338,3
8,7247341,3
5,7247344,3
12,7247345,3
3,7247345,5
10,7247351,4
4,7247352,3
2,7247352,4
0,7247352,5
8,7247353,3
4,7247353,4
3,7247356,3
1,7247356,2
9,7247359,3
5,7247359,4
0,7247359,5
12,7247360,3
8,7247360,4
5,7247363,3
11,7247366,3
1,7247367,6
4,7247369,4
4,7247371,3
2,7247371,5
4,7247372,4
0,7247374,3
7,7247375,3
5,7247375,4
0,7247378,2
2,7247378,3
4,7247379,6
9,7247380,4
7,7247383,2
8,7247385,3
0,7247385,4
12,7247386,3
7,7247386,4
12,7247393,3
7,7247397,3
0,7247397,4
6,7247398,3
2,7247399,3
6,7247403,3
2,7247406,3
1,7247409,3
2,7247411,3
1,7247413,3
4,7247414,2
9,7247416,4
7,7247417,3
11,7247418,3
4,7247418,4
12,7247423,4
9,7247424,3
4,7247424,4
1,7247424,5
10,7247433,7
2,7247434,3
3,7247435,3
1,7247437,3
7,7247440,2
1,7247440,4
10,7247442,3
9,7247442,4
3,7247442,5
0,7247442,6
9,7247443,2
0,7247449,3
6,7247451,4
10,7247452,3
3,7247452,4
4,7247456,3
3,7247457,3
12,7247461,3
6,7247461,4
4,7247461,5
3,7247462,3
0,7247462,4
11,7247463,3
9,7247463,4
11,7247464,3
8,7247464,4
7,7247464,5
8,7247466,2
4,7247468,6
1,7247469,4
8,7247470,3
6,7247470,4
4,7247472,4
12,7247476,3
10,7247476,4
6,7247484,3
5,7247487,3
6,7247490,3
2,7247490,4
12,7247491,4
8,7247493,5
12,7247494,3
8,7247495,6
7,7247495,7
12,7247497,3
3,7247497,4
5,7247498,3
3,7247498,4
1,7247498,5
12,7247501,2
9,7247501,3
5,7247501,4
6,7247501,7
9,7247503,4
6,7247503,5
9,7247504,5
7,7247504,6
11,7247505,4
3,7247507,3
9,7247509,4
0,7247509,5
6,7247509,7
11,7247510,5
9,7247512,3
12,7247515,4
0,7247515,5
1,7247516,3
4,7247528,3
1,7247528,4
4,7247530,4
8,7247531,2
9,7247532,3
4,7247532,4
4,7247534,4
2,7247535,5
11,7247538,3
11,7247542,2
0,7247545,3
5,7247548,3
6,7247553,5
0,7247567,3
0,7247569,3
9,7247576,3
8,7247576,4
0,7247576,5
12,7247577,3
9,7247587,4
3,7247587,5
12,7247600,5
10,7247600,6
4,7247600,7
11,7247613,5
12,7247615,3
10,7247617,3
7,7247621,7
11,7247631,4
6,7247631,5
6,7247631,6
1,7247632,5
2,7247638,3
11,7247642,3
4,7247642,4
10,7247644,3
6,7247644,4
11,7247645,5
7,7247645,6
5,7247652,4
12,7247656,3
11,7247668,4
5,7247670,3
2,7247670,4
11,7247673,4
5,7247673,5
9,7247678,3
5,7247680,3
6,7247681,3
1,7247681,4
9,7247685,3
2,7247685,6
2,7247686,4
10,7247688,2
6,7247688,3
5,7247688,4
3,7247689,3
10,7247691,5
12,7247692,4
9,7247692,5
7,7247695,3
5,7247695,4
0,7247696,3
11,7247697,2
2,7247697,4
7,7247698,3
3,7247698,6
0,7247698,7
11,7247699,3
6,7247699,4
6,7247699,5
8,7247700,3
5,7247700,4
5,7247705,3
3,7247705,4
1,7247705,5
2,7247706,3
1,7247706,4
9,7247707,3
7,7247707,4
4,7247709,3
7,7247710,6
11,7247712,3
6,7247712,4
9,7247713,3
4,7247713,4
11,7247714,3
9,7247714,4
7,7247714,5
5,7247714,6
1,7247715,5
5,7247717,3
10,7247718,3
9,7247718,4
6,7247718,5
0,7247719,3
9,7247720,5
7,7247727,3
1,7247727,4
3,7247728,3
12,7247729,3
11,7247730,2
3,7247730,3
7,7247731,4
7,7247732,6
11,7247735,2
10,7247735,3
2,7247736,3
7,7247739,3
10,7247740,6
0,7247741,4
2,7247741,5
12,7247742,4
3,7247742,5
12,7247745,3
10,7247745,4
7,7247746,3
10,7247747,3
