"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1",7247300,1,60
"2",7247300,2,60
"3",7247300,3,80
"4",7247301,1,60
"5",7247301,2,60
"6",7247302,6,60
"7",7247310,1,60
"8",7247310,2,80
"9",7247311,1,60
"10",7247312,1,60
"11",7247312,5,60
"12",7247312,6,60
"13",7247312,7,60
"14",7247323,1,44
"15",7247323,2,80
"16",7247324,1,60
"17",7247328,1,60
"18",7247328,2,60
"19",7247329,1,80
"20",7247335,1,60
"21",7247335,2,60
"22",7247344,4,60
"23",7247355,3,60
"24",7247356,1,60
"25",7247369,1,60
"26",7247375,5,60
"27",7247377,1,60
"28",7247377,2,60
"29",7247379,1,60
"30",7247382,1,60
"31",7247382,2,60
"32",7247388,1,60
"33",7247388,2,60
"34",7247391,1,60
"35",7247391,2,60
"36",7247392,1,60
"37",7247392,2,60
"38",7247394,1,60
"39",7247402,1,60
"40",7247423,1,60
"41",7247425,1,60
"42",7247425,2,60
"43",7247439,1,60
"44",7247444,1,60
"45",7247444,3,60
"46",7247458,1,44
"47",7247458,2,60
"48",7247467,1,44
"49",7247467,2,44
"50",7247473,1,44
"51",7247474,1,60
"52",7247484,1,80
"53",7247487,1,60
"54",7247487,4,60
"55",7247489,1,44
"56",7247489,2,44
"57",7247493,1,60
"58",7247493,2,44
"59",7247495,1,60
"60",7247506,1,44
"61",7247506,2,60
"62",7247509,1,60
"63",7247510,3,60
"64",7247517,1,60
"65",7247518,1,60
"66",7247520,1,44
"67",7247538,1,60
"68",7247541,1,60
"69",7247541,2,60
"70",7247546,1,60
"71",7247546,2,60
"72",7247549,1,60
"73",7247549,2,60
"74",7247550,1,60
"75",7247551,2,60
"76",7247552,1,60
"77",7247553,1,60
"78",7247553,2,60
"79",7247558,1,60
"80",7247560,1,60
"81",7247560,2,60
"82",7247570,1,60
"83",7247578,1,60
"84",7247584,1,60
"85",7247585,1,60
"86",7247600,1,60
"87",7247600,2,60
"88",7247615,1,60
"89",7247617,2,60
"90",7247621,8,60
"91",7247626,1,60
"92",7247637,1,60
"93",7247637,2,60
"94",7247641,1,44
"95",7247647,2,60
"96",7247653,2,60
"97",7247657,1,60
"98",7247657,2,60
"99",7247658,2,60
"100",7247659,1,60
"101",7247660,1,60
"102",7247662,1,60
"103",7247662,2,60
"104",7247665,1,60
"105",7247665,2,60
"106",7247666,1,60
"107",7247668,1,60
"108",7247671,1,60
"109",7247671,2,80
"110",7247672,1,100
"111",7247673,6,44
"112",7247679,1,60
"113",7247679,2,60
"114",7247681,5,60
"115",7247683,2,60
"116",7247684,1,60
"117",7247686,1,60
"118",7247686,2,60
"119",7247693,1,60
"120",7247693,2,44
"121",7247698,8,44
"122",7247702,1,44
"123",7247702,2,44
"124",7247708,1,60
"125",7247708,2,44
"126",7247710,1,60
"127",7247717,1,60
"128",7247722,1,44
"129",7247722,2,60
"130",7247730,2,60
"131",7247731,2,60
"132",7247746,1,60
"133",7247746,4,60
"134",7247746,5,60
"135",7247747,1,60
"136",7247748,1,100
"137",7247748,2,80
"138",7247749,1,60
"139",7247749,2,60
"140",7247752,1,60
"141",7247758,1,44
"142",7247763,1,44
"143",7247763,2,60
"144",7247769,1,60
"145",7247769,2,60
"146",7247771,3,44
"147",7247775,7,60
"148",7247777,1,60
"149",7247777,2,60
"150",7247778,1,60
"151",7247781,1,60
"152",7247787,1,60
"153",7247787,2,60
"154",7247788,1,60
"155",7247788,2,80
"156",7247790,1,44
"157",7247790,2,60
"158",7247793,1,60
"159",7247793,2,60
"160",7247794,5,60
"161",7247797,1,60
"162",7247806,1,44
"163",7247806,2,44
"164",7247809,1,60
"165",7247810,1,44
"166",7247814,1,60
"167",7247817,1,60
"168",7247818,5,44
"169",7247819,1,44
"170",7247820,1,60
"171",7247820,2,60
"172",7247821,4,60
"173",7247822,1,60
"174",7247823,1,44
"175",7247826,1,44
"176",7247835,1,44
"177",7247835,2,60
"178",7247836,1,60
"179",7247841,1,60
"180",7247845,1,44
"181",7247847,1,60
"182",7247849,1,60
"183",7247849,2,44
"184",7247851,2,44
"185",7247856,1,44
"186",7247856,2,44
"187",7247859,1,60
"188",7247861,1,44
"189",7247861,2,60
"190",7247862,1,60
"191",7247862,2,60
"192",7247866,1,60
"193",7247869,1,60
"194",7247873,5,60
"195",7247875,1,60
"196",7247875,2,60
"197",7247880,1,80
"198",7247880,2,60
"199",7247882,1,60
"200",7247882,2,60
"201",7247882,4,60
"202",7247885,1,60
"203",7247885,2,60
"204",7247891,1,60
"205",7247891,2,60
"206",7247892,1,60
"207",7247892,2,60
"208",7247892,3,60
"209",7247895,2,60
"210",7247896,1,44
"211",7247897,1,44
"212",7247898,1,60
"213",7247898,2,60
"214",7247900,6,44
"215",7247905,1,44
"216",7247905,5,44
