"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1",7247302,5,40
"2",7247303,4,64
"3",7247304,3,48
"4",7247307,2,64
"5",7247320,5,48
"6",7247331,3,48
"7",7247332,3,32
"8",7247333,3,32
"9",7247333,4,32
"10",7247338,3,32
"11",7247341,3,32
"12",7247344,3,24
"13",7247345,3,56
"14",7247351,4,48
"15",7247353,3,32
"16",7247359,3,56
"17",7247359,4,56
"18",7247360,3,48
"19",7247360,4,56
"20",7247363,3,56
"21",7247366,3,32
"22",7247375,3,48
"23",7247375,4,40
"24",7247380,4,48
"25",7247383,2,40
"26",7247385,3,48
"27",7247386,3,48
"28",7247386,4,40
"29",7247393,3,48
"30",7247397,3,48
"31",7247398,3,20
"32",7247403,3,48
"33",7247416,4,48
"34",7247417,3,48
"35",7247418,3,48
"36",7247423,4,48
"37",7247424,3,48
"38",7247433,7,48
"39",7247440,2,48
"40",7247442,3,48
"41",7247442,4,48
"42",7247443,2,48
"43",7247451,4,48
"44",7247452,3,64
"45",7247461,3,48
"46",7247461,4,40
"47",7247463,3,64
"48",7247463,4,56
"49",7247464,3,48
"50",7247464,4,48
"51",7247464,5,48
"52",7247466,2,56
"53",7247470,3,48
"54",7247470,4,48
"55",7247476,3,32
"56",7247476,4,32
"57",7247484,3,24
"58",7247487,3,24
"59",7247490,3,48
"60",7247491,4,32
"61",7247493,5,32
"62",7247494,3,32
"63",7247495,6,32
"64",7247495,7,32
"65",7247497,3,32
"66",7247498,3,24
"67",7247501,2,32
"68",7247501,3,32
"69",7247501,4,12
"70",7247501,7,24
"71",7247503,4,26
"72",7247503,5,26
"73",7247504,5,32
"74",7247504,6,32
"75",7247505,4,32
"76",7247509,4,32
"77",7247509,7,32
"78",7247510,5,32
"79",7247512,3,32
"80",7247515,4,32
"81",7247531,2,64
"82",7247532,3,64
"83",7247538,3,64
"84",7247542,2,32
"85",7247548,3,24
"86",7247553,5,32
"87",7247576,3,32
"88",7247576,4,32
"89",7247577,3,32
"90",7247587,4,32
"91",7247600,5,48
"92",7247600,6,48
"93",7247613,5,48
"94",7247615,3,48
"95",7247617,3,48
"96",7247621,7,48
"97",7247631,4,48
"98",7247631,5,40
"99",7247631,6,40
"100",7247642,3,32
"101",7247644,3,48
"102",7247644,4,48
"103",7247645,5,48
"104",7247645,6,48
"105",7247652,4,24
"106",7247656,3,32
"107",7247668,4,48
"108",7247670,3,24
"109",7247673,4,32
"110",7247673,5,14
"111",7247678,3,64
"112",7247680,3,14
"113",7247681,3,64
"114",7247685,3,64
"115",7247688,2,48
"116",7247688,3,40
"117",7247688,4,40
"118",7247691,5,48
"119",7247692,4,56
"120",7247692,5,56
"121",7247695,3,48
"122",7247695,4,40
"123",7247697,2,48
"124",7247698,3,40
"125",7247699,3,48
"126",7247699,4,18
"127",7247699,5,12
"128",7247700,3,48
"129",7247700,4,56
"130",7247705,3,40
"131",7247707,3,48
"132",7247707,4,48
"133",7247710,6,48
"134",7247712,3,48
"135",7247712,4,48
"136",7247713,3,48
"137",7247714,3,48
"138",7247714,4,48
"139",7247714,5,40
"140",7247714,6,40
"141",7247717,3,40
"142",7247718,3,48
"143",7247718,4,48
"144",7247718,5,40
"145",7247720,5,32
"146",7247727,3,64
"147",7247729,3,48
"148",7247730,2,48
"149",7247731,4,64
"150",7247732,6,48
"151",7247735,2,48
"152",7247735,3,48
"153",7247739,3,48
"154",7247740,6,28
"155",7247742,4,48
"156",7247745,3,48
"157",7247745,4,48
"158",7247746,3,48
"159",7247747,3,28
"160",7247748,5,48
"161",7247751,3,64
"162",7247753,4,64
"163",7247754,3,48
"164",7247754,4,48
"165",7247755,4,48
"166",7247756,4,48
"167",7247757,4,56
"168",7247758,2,48
"169",7247770,5,48
"170",7247773,3,48
"171",7247773,4,48
"172",7247775,5,48
"173",7247775,6,64
"174",7247778,4,48
"175",7247782,5,64
"176",7247784,5,48
"177",7247792,3,56
"178",7247793,4,56
"179",7247794,3,56
"180",7247795,4,64
"181",7247802,5,48
"182",7247804,3,48
"183",7247815,3,48
"184",7247815,4,48
"185",7247816,4,48
"186",7247817,4,48
"187",7247817,6,56
"188",7247818,4,48
"189",7247825,3,48
"190",7247825,4,48
"191",7247827,2,56
"192",7247828,4,48
"193",7247829,4,48
"194",7247829,8,48
"195",7247829,9,48
"196",7247831,4,48
"197",7247832,3,48
"198",7247832,4,40
"199",7247833,3,48
"200",7247843,3,56
"201",7247844,3,56
"202",7247856,4,48
"203",7247858,4,32
"204",7247859,6,24
"205",7247862,3,56
"206",7247866,3,64
"207",7247866,4,64
"208",7247870,3,32
"209",7247872,2,56
"210",7247873,4,48
"211",7247874,2,48
"212",7247883,3,48
"213",7247883,5,48
"214",7247886,3,48
"215",7247887,5,40
"216",7247893,6,40
"217",7247900,5,48
"218",7247901,5,48
"219",7247901,6,48
"220",7247904,3,40
"221",7247905,4,40
"222",7247907,3,48
"223",7247908,3,64
"224",7247917,4,48
"225",7247918,3,48
"226",7247919,6,48
"227",7247921,4,40
"228",7247925,5,48
"229",7247931,3,48
"230",7247933,3,48
"231",7247936,4,48
"232",7247936,5,48
"233",7247938,3,24
"234",7247942,3,48
"235",7247943,2,48
"236",7247951,3,64
"237",7247951,4,48
"238",7247953,3,48
"239",7247953,4,64
"240",7247955,5,48
"241",7247959,3,64
"242",7247961,2,24
"243",7247967,3,32
"244",7247970,3,48
"245",7247970,4,40
"246",7247971,3,56
"247",7247974,2,40
"248",7247978,3,40
"249",7247979,3,48
"250",7247981,4,56
"251",7247981,5,48
"252",7247986,4,48
"253",7247992,4,48
"254",7247995,3,48
"255",7247997,2,32
"256",7247997,3,32
"257",7247998,2,32
"258",7248001,4,56
"259",7248008,3,48
"260",7248010,3,48
"261",7248010,4,48
"262",7248010,5,40
"263",7248011,7,40
"264",7248012,3,64
"265",7248013,2,56
"266",7248018,3,48
"267",7248021,2,48
"268",7248026,4,48
"269",7248027,3,48
"270",7248032,3,64
"271",7248038,5,48
"272",7248044,3,32
"273",7248046,4,32
"274",7248049,2,32
"275",7248050,4,32
"276",7248055,4,32
"277",7248064,6,32
"278",7248064,7,32
"279",7248065,3,32
"280",7248065,4,32
"281",7248071,4,48
"282",7248072,3,48
"283",7248072,4,48
"284",7248075,4,48
"285",7248077,4,48
"286",7248086,5,48
"287",7248087,3,48
"288",7248087,4,48
"289",7248088,6,48
"290",7248090,8,48
"291",7248095,2,32
"292",7248096,3,48
"293",7248105,3,32
"294",7248107,3,32
"295",7248107,4,32
"296",7248120,3,32
"297",7248120,4,32
"298",7248124,2,48
"299",7248124,2,48
"300",7248127,5,48
"301",7248127,6,40
"302",7248128,3,48
"303",7248146,3,48
"304",7248148,3,48
"305",7248151,4,48
"306",7248153,3,48
"307",7248153,4,48
"308",7248159,4,26
"309",7248159,5,14
"310",7248172,3,32
"311",7248175,4,48
"312",7248179,3,48
"313",7248180,3,48
"314",7248196,2,32
"315",7248196,3,32
"316",7248197,4,48
"317",7248199,3,32
"318",7248206,5,24
"319",7248209,5,14
"320",7248219,4,32
"321",7248235,2,28
"322",7248240,3,32
"323",7248240,4,32
"324",7248242,3,32
"325",7248242,4,32
"326",7248243,5,48
"327",7248245,4,48
"328",7248247,3,32
"329",7248247,4,32
"330",7248257,3,56
"331",7248258,3,32
"332",7248267,3,32
"333",7248275,3,32
"334",7248278,3,56
"335",7248280,4,64
"336",7248281,3,32
"337",7248290,6,32
"338",7248294,4,48
"339",7248294,5,48
"340",7248305,3,32
"341",7248316,4,32
"342",7248316,7,32
"343",7248318,4,32
"344",7248320,4,32
"345",7248323,6,40
"346",7248328,3,20
"347",7248330,4,56
"348",7248330,5,56
"349",7248335,3,56
"350",7248336,2,56
"351",7248340,4,56
"352",7248340,8,56
"353",7248341,4,48
"354",7248342,3,12
"355",7248355,3,64
"356",7248359,4,56
"357",7248372,3,48
"358",7248372,4,48
"359",7248375,5,64
"360",7248376,3,48
"361",7248377,5,48
"362",7248387,3,14
"363",7248389,5,32
"364",7248391,7,32
"365",7248391,8,32
"366",7248392,4,48
"367",7248400,3,48
"368",7248401,3,32
"369",7248407,5,26
"370",7248407,6,48
"371",7248413,3,64
"372",7248417,3,64
"373",7248421,4,64
"374",7248422,3,56
"375",7248425,2,32
"376",7248425,3,24
"377",7248432,3,64
"378",7248432,4,56
"379",7248435,2,64
"380",7248435,3,64
"381",7248446,5,48
"382",7248453,4,48
"383",7248458,3,32
"384",7248459,5,24
"385",7248462,5,32
"386",7248462,6,32
"387",7248472,4,48
"388",7248477,3,48
"389",7248477,4,40
"390",7248479,3,48
"391",7248479,4,40
"392",7248480,5,48
"393",7248481,3,32
"394",7248490,2,32
"395",7248495,3,48
"396",7248500,4,48
"397",7248502,3,48
"398",7248507,3,48
"399",7248507,4,48
"400",7248511,3,48
"401",7248511,4,40
"402",7248512,4,48
"403",7248517,2,48
"404",7248518,4,48
"405",7248523,2,48
"406",7248542,6,64
"407",7248543,6,32
"408",7248549,4,32
"409",7248555,2,48
"410",7248562,3,48
"411",7248571,3,32
"412",7248571,4,14
"413",7248576,3,48
"414",7248584,4,14
"415",7248589,2,14
"416",7248595,3,32
"417",7248599,4,32
"418",7248605,3,48
"419",7248611,3,32
"420",7248626,3,48
"421",7248627,3,48
"422",7248627,4,48
"423",7248636,3,40
"424",7248636,4,40
"425",7248638,3,40
"426",7248639,3,48
"427",7248639,4,48
"428",7248646,4,48
"429",7248653,3,48
"430",7248659,4,48
"431",7248659,5,48
"432",7248662,3,14
"433",7248668,5,40
"434",7248672,5,56
"435",7248672,6,56
"436",7248677,4,64
"437",7248678,3,48
"438",7248690,3,48
"439",7248698,2,48
"440",7248700,3,48
"441",7248703,2,12
"442",7248709,3,48
"443",7248709,4,40
"444",7248721,3,48
"445",7248721,4,48
"446",7248721,5,48
"447",7248721,6,40
"448",7248728,2,48
"449",7248734,5,48
"450",7248745,3,48
"451",7248746,6,48
"452",7248751,2,48
"453",7248751,3,48
"454",7248753,4,48
"455",7248754,3,48
"456",7248754,4,48
"457",7248755,3,48
"458",7248756,5,48
"459",7248757,4,48
"460",7248758,3,48
"461",7248763,5,64
"462",7248765,6,48
"463",7248773,4,48
"464",7248775,5,48
"465",7248784,5,48
"466",7248787,3,14
"467",7248791,5,64
"468",7248792,4,40
"469",7248795,4,48
"470",7248806,2,48
"471",7248808,4,32
"472",7248811,4,24
"473",7248816,4,48
"474",7248819,3,56
"475",7248820,5,32
"476",7248822,2,48
"477",7248824,3,48
"478",7248829,3,64
"479",7248831,3,48
"480",7248835,3,32
"481",7248837,2,64
"482",7248838,2,24
"483",7248839,3,48
"484",7248840,3,40
"485",7248844,3,48
"486",7248864,3,32
"487",7248869,3,64
"488",7248872,5,18
"489",7248876,3,48
"490",7248877,3,64
"491",7248877,4,56
"492",7248883,5,48
"493",7248883,6,56
"494",7248887,2,64
"495",7248898,4,56
"496",7248900,7,48
"497",7248902,4,40
"498",7248906,2,48
"499",7248906,3,48
"500",7248908,5,48
"501",7248908,6,48
"502",7248911,2,48
"503",7248911,3,48
"504",7248915,3,40
"505",7248916,3,48
"506",7248921,3,64
"507",7248925,4,48
"508",7248927,3,56
"509",7248929,3,48
"510",7248932,3,64
"511",7248934,3,48
"512",7248938,3,26
"513",7248940,3,48
