"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1",7247300,1,29
"2",7247300,2,44
"3",7247300,3,52
"4",7247301,1,23
"5",7247301,2,23
"6",7247302,6,3
"7",7247310,1,36
"8",7247310,2,16
"9",7247311,1,16
"10",7247311,1,64
"11",7247312,1,46
"12",7247312,5,4
"13",7247312,6,4
"14",7247312,7,44
"15",7247323,1,4
"16",7247323,2,60
"17",7247324,1,36
"18",7247328,1,62
"19",7247328,2,60
"20",7247329,1,31
"21",7247335,1,44
"22",7247335,2,52
"23",7247344,4,23
"24",7247355,3,3
"25",7247356,1,36
"26",7247356,1,68
"27",7247369,1,54
"28",7247375,5,45
"29",7247377,1,3
"30",7247377,2,31
"31",7247379,1,3
"32",7247382,1,21
"33",7247382,2,21
"34",7247388,1,23
"35",7247388,2,50
"36",7247391,1,54
"37",7247391,2,51
"38",7247392,1,3
"39",7247392,2,23
"40",7247394,1,23
"41",7247402,1,21
"42",7247423,1,3
"43",7247425,1,23
"44",7247425,2,16
"45",7247439,1,36
"46",7247444,1,54
"47",7247444,3,3
"48",7247458,1,31
"49",7247458,2,3
"50",7247467,1,3
"51",7247467,2,3
"52",7247473,1,23
"53",7247474,1,21
"54",7247484,1,52
"55",7247487,1,23
"56",7247487,4,3
"57",7247489,1,36
"58",7247489,2,3
"59",7247493,1,23
"60",7247493,2,3
"61",7247495,1,52
"62",7247506,1,16
"63",7247506,2,16
"64",7247509,1,31
"65",7247510,3,16
"66",7247517,1,21
"67",7247518,1,54
"68",7247520,1,3
"69",7247538,1,36
"70",7247541,1,3
"71",7247541,2,3
"72",7247546,1,44
"73",7247546,2,36
"74",7247549,1,29
"75",7247549,2,1
"76",7247550,1,36
"77",7247551,2,36
"78",7247552,1,36
"79",7247553,1,36
"80",7247553,2,16
"81",7247558,1,16
"82",7247560,1,36
"83",7247560,2,36
"84",7247570,1,31
"85",7247578,1,36
"86",7247584,1,23
"87",7247585,1,53
"88",7247600,1,54
"89",7247600,2,54
"90",7247615,1,59
"91",7247617,2,29
"92",7247621,8,3
"93",7247626,1,23
"94",7247637,1,23
"95",7247637,2,23
"96",7247641,1,3
"97",7247647,2,3
"98",7247653,2,3
"99",7247657,1,23
"100",7247657,2,23
"101",7247658,2,3
"102",7247659,1,36
"103",7247660,1,23
"104",7247662,1,3
"105",7247662,2,3
"106",7247665,1,23
"107",7247665,2,3
"108",7247666,1,3
"109",7247668,1,3
"110",7247671,1,31
"111",7247671,2,23
"112",7247672,1,62
"113",7247673,6,3
"114",7247679,1,44
"115",7247679,2,16
"116",7247681,5,36
"117",7247683,2,29
"118",7247684,1,3
"119",7247686,1,16
"120",7247686,2,3
"121",7247693,1,23
"122",7247693,2,3
"123",7247698,8,3
"124",7247702,1,23
"125",7247702,2,3
"126",7247708,1,23
"127",7247708,2,16
"128",7247710,1,16
"129",7247717,1,16
"130",7247722,1,3
"131",7247722,2,23
"132",7247730,2,23
"133",7247730,2,0
"134",7247731,2,23
"135",7247746,1,3
"136",7247746,4,3
"137",7247746,5,23
"138",7247747,1,51
"139",7247747,1,36
"140",7247748,1,70
"141",7247748,2,52
"142",7247749,1,23
"143",7247749,2,3
"144",7247752,1,52
"145",7247758,1,23
"146",7247763,1,23
"147",7247763,2,23
"148",7247769,1,3
"149",7247769,2,29
"150",7247771,3,3
"151",7247775,7,3
"152",7247777,1,16
"153",7247777,2,16
"154",7247778,1,23
"155",7247781,1,23
"156",7247787,1,55
"157",7247787,2,53
"158",7247788,1,23
"159",7247788,2,64
"160",7247790,1,23
"161",7247790,2,52
"162",7247793,1,3
"163",7247793,2,23
"164",7247794,5,3
"165",7247797,1,23
"166",7247806,1,23
"167",7247806,2,23
"168",7247809,1,23
"169",7247810,1,23
"170",7247814,1,36
"171",7247817,1,21
"172",7247818,5,3
"173",7247819,1,16
"174",7247820,1,3
"175",7247820,2,23
"176",7247821,4,16
"177",7247822,1,36
"178",7247823,1,3
"179",7247826,1,23
"180",7247835,1,36
"181",7247835,2,36
"182",7247836,1,44
"183",7247841,1,23
"184",7247845,1,3
"185",7247847,1,31
"186",7247849,1,23
"187",7247849,2,23
"188",7247851,2,3
"189",7247856,1,23
"190",7247856,2,23
"191",7247859,1,36
"192",7247861,1,23
"193",7247861,2,23
"194",7247862,1,52
"195",7247862,1,23
"196",7247862,2,31
"197",7247862,2,54
"198",7247866,1,23
"199",7247869,1,23
"200",7247873,5,23
"201",7247875,1,21
"202",7247875,2,23
"203",7247880,1,54
"204",7247880,2,52
"205",7247882,1,21
"206",7247882,2,21
"207",7247882,4,21
"208",7247885,1,70
"209",7247885,2,52
"210",7247891,1,36
"211",7247891,2,3
"212",7247892,1,23
"213",7247892,2,3
"214",7247892,3,3
"215",7247895,2,31
"216",7247896,1,23
"217",7247897,1,3
"218",7247898,1,3
"219",7247898,2,3
"220",7247900,6,3
"221",7247905,1,3
"222",7247905,5,3
"223",7247907,1,23
"224",7247909,3,16
"225",7247915,1,23
"226",7247922,1,16
"227",7247926,1,27
"228",7247927,1,23
"229",7247930,1,23
"230",7247930,2,3
"231",7247931,1,31
"232",7247932,1,1
"233",7247937,1,16
"234",7247938,1,23
"235",7247938,2,3
"236",7247940,1,31
"237",7247940,3,3
"238",7247944,1,3
"239",7247950,1,3
"240",7247954,1,3
"241",7247956,1,36
"242",7247958,1,36
"243",7247958,2,3
"244",7247959,4,36
"245",7247962,3,3
"246",7247963,1,36
"247",7247978,1,44
"248",7247979,1,31
"249",7247979,2,23
"250",7247980,1,3
"251",7247980,2,3
"252",7247982,1,70
"253",7247986,1,29
"254",7247987,1,3
"255",7247987,2,3
"256",7247993,1,52
"257",7247994,1,21
"258",7247994,2,16
"259",7247998,7,3
"260",7248000,1,36
"261",7248000,2,16
"262",7248003,1,16
"263",7248003,2,16
"264",7248004,1,54
"265",7248004,2,3
"266",7248007,1,31
"267",7248009,1,21
"268",7248009,2,21
"269",7248019,1,23
"270",7248022,1,3
"271",7248022,2,3
"272",7248025,1,36
"273",7248025,2,21
"274",7248033,1,3
"275",7248035,1,3
"276",7248039,1,23
"277",7248048,1,33
"278",7248048,2,46
"279",7248049,1,31
"280",7248063,1,23
"281",7248063,2,36
"282",7248064,1,21
"283",7248064,2,36
"284",7248066,1,31
"285",7248068,1,3
"286",7248088,1,21
"287",7248088,2,23
"288",7248090,1,23
"289",7248090,2,3
"290",7248094,2,16
"291",7248094,3,36
"292",7248094,4,36
"293",7248097,1,3
"294",7248101,1,31
"295",7248101,2,31
"296",7248108,2,3
"297",7248111,1,3
"298",7248111,2,23
"299",7248112,3,31
"300",7248115,1,21
"301",7248115,2,1
"302",7248117,1,44
"303",7248117,2,36
"304",7248117,3,16
"305",7248121,1,16
"306",7248125,1,3
"307",7248125,2,3
"308",7248126,1,3
"309",7248127,2,52
"310",7248138,1,23
"311",7248142,2,36
"312",7248144,1,31
"313",7248144,2,51
"314",7248147,2,75
"315",7248171,1,3
"316",7248172,4,16
"317",7248173,5,3
"318",7248174,1,23
"319",7248174,2,23
"320",7248176,1,61
"321",7248177,1,54
"322",7248177,2,16
"323",7248179,4,3
"324",7248183,1,3
"325",7248185,1,3
"326",7248185,2,23
"327",7248187,3,76
"328",7248191,1,16
"329",7248195,1,16
"330",7248198,1,23
"331",7248198,2,31
"332",7248206,1,51
