"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1",7247302,5,31
"2",7247303,4,40
"3",7247304,3,32
"4",7247307,2,66
"5",7247320,5,23
"6",7247331,3,28
"7",7247332,3,32
"8",7247333,3,26
"9",7247333,4,26
"10",7247338,3,24
"11",7247341,3,24
"12",7247344,3,24
"13",7247345,3,23
"14",7247351,4,60
"15",7247353,3,30
"16",7247356,2,56
"17",7247356,3,54
"18",7247359,3,1
"19",7247359,4,1
"20",7247360,3,28
"21",7247360,4,16
"22",7247363,3,34
"23",7247366,3,23
"24",7247375,3,27
"25",7247375,4,25
"26",7247380,4,29
"27",7247383,2,28
"28",7247385,3,34
"29",7247386,3,34
"30",7247386,4,32
"31",7247393,3,66
"32",7247397,3,25
"33",7247398,3,0
"34",7247403,3,0
"35",7247416,4,28
"36",7247417,3,25
"37",7247418,3,38
"38",7247423,4,32
"39",7247424,3,0
"40",7247433,7,25
"41",7247440,2,3
"42",7247442,3,1
"43",7247442,4,1
"44",7247443,2,23
"45",7247451,4,26
"46",7247452,3,31
"47",7247461,3,39
"48",7247461,4,3
"49",7247463,3,40
"50",7247463,4,32
"51",7247464,3,1
"52",7247464,4,1
"53",7247464,5,3
"54",7247466,2,6
"55",7247470,3,24
"56",7247470,4,23
"57",7247476,3,62
"58",7247476,4,64
"59",7247484,3,24
"60",7247487,3,23
"61",7247490,3,25
"62",7247491,4,30
"63",7247493,5,1
"64",7247494,3,25
"65",7247495,6,16
"66",7247495,7,16
"67",7247497,3,44
"68",7247498,3,23
"69",7247501,2,30
"70",7247501,3,30
"71",7247501,4,24
"72",7247501,7,26
"73",7247503,4,16
"74",7247503,5,16
"75",7247504,5,23
"76",7247504,6,16
"77",7247505,4,27
"78",7247509,4,60
"79",7247509,7,54
"80",7247510,5,16
"81",7247512,3,26
"82",7247515,4,36
"83",7247531,2,23
"84",7247532,3,38
"85",7247538,3,30
"86",7247542,2,62
"87",7247548,3,3
"88",7247553,5,16
"89",7247576,3,3
"90",7247576,4,3
"91",7247577,3,54
"92",7247587,4,37
"93",7247600,5,60
"94",7247600,6,60
"95",7247613,5,26
"96",7247615,3,60
"97",7247617,3,31
"98",7247621,7,28
"99",7247631,4,32
"100",7247631,5,28
"101",7247631,6,28
"102",7247642,3,3
"103",7247644,3,0
"104",7247644,4,3
"105",7247645,5,3
"106",7247645,6,3
"107",7247652,4,3
"108",7247656,3,1
"109",7247668,4,60
"110",7247670,3,22
"111",7247673,4,28
"112",7247673,5,3
"113",7247678,3,21
"114",7247680,3,29
"115",7247681,3,22
"116",7247685,3,28
"117",7247688,2,25
"118",7247688,3,23
"119",7247688,4,23
"120",7247691,5,67
"121",7247692,4,3
"122",7247692,5,23
"123",7247695,3,25
"124",7247695,4,23
"125",7247697,2,32
"126",7247698,3,3
"127",7247699,3,3
"128",7247699,4,3
"129",7247699,5,3
"130",7247700,3,3
"131",7247700,4,3
"132",7247705,3,0
"133",7247707,3,3
"134",7247707,4,3
"135",7247710,6,0
"136",7247712,3,24
"137",7247712,4,24
"138",7247713,3,0
"139",7247714,3,3
"140",7247714,4,3
"141",7247714,5,3
"142",7247714,6,3
"143",7247717,3,1
"144",7247718,3,23
"145",7247718,4,24
"146",7247718,5,23
"147",7247720,5,0
"148",7247727,3,32
"149",7247729,3,1
"150",7247730,2,0
"151",7247730,2,23
"152",7247731,4,27
"153",7247732,6,3
"154",7247735,2,3
"155",7247735,3,1
"156",7247739,3,3
"157",7247740,6,3
"158",7247742,4,27
"159",7247745,3,1
"160",7247745,4,3
"161",7247746,3,3
"162",7247747,3,35
"163",7247748,5,37
"164",7247751,3,40
"165",7247753,4,25
"166",7247754,3,23
"167",7247754,4,23
"168",7247755,4,21
"169",7247756,4,32
"170",7247757,4,31
"171",7247758,2,23
"172",7247770,5,34
"173",7247773,3,24
"174",7247773,4,24
"175",7247775,5,28
"176",7247775,6,28
"177",7247778,4,26
"178",7247782,5,32
"179",7247784,5,24
"180",7247792,3,0
"181",7247793,4,28
"182",7247794,3,3
"183",7247795,4,34
"184",7247802,5,24
"185",7247804,3,1
"186",7247815,3,3
"187",7247815,4,0
"188",7247816,4,0
"189",7247816,4,0
"190",7247817,4,1
"191",7247817,6,1
"192",7247818,4,3
"193",7247825,3,30
"194",7247825,4,34
"195",7247827,2,1
"196",7247828,4,3
"197",7247829,4,23
"198",7247829,8,3
"199",7247829,9,3
"200",7247831,4,35
"201",7247832,3,32
"202",7247832,4,23
"203",7247833,3,23
"204",7247843,3,28
"205",7247844,3,24
"206",7247856,4,27
"207",7247858,4,30
"208",7247859,6,1
"209",7247862,3,24
"210",7247866,3,1
"211",7247866,4,1
"212",7247870,3,59
"213",7247872,2,25
"214",7247873,4,29
"215",7247874,2,25
"216",7247883,3,36
"217",7247883,5,29
"218",7247886,3,28
"219",7247887,5,3
"220",7247893,6,3
"221",7247900,5,3
"222",7247901,5,34
"223",7247901,6,35
"224",7247904,3,3
"225",7247905,4,3
"226",7247907,3,6
"227",7247908,3,33
"228",7247917,4,30
"229",7247918,3,23
"230",7247919,6,58
