"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1",7247302,5,100
"2",7247303,4,100
"3",7247304,3,100
"4",7247307,2,100
"5",7247320,5,100
"6",7247331,3,100
"7",7247332,3,100
"8",7247333,3,100
"9",7247333,4,100
"10",7247338,3,100
"11",7247341,3,100
"12",7247344,3,100
"13",7247351,4,100
"14",7247353,3,100
"15",7247359,3,100
"16",7247359,4,100
"17",7247360,4,100
"18",7247363,3,100
"19",7247366,3,100
"20",7247375,3,100
"21",7247375,4,100
"22",7247380,4,100
"23",7247383,2,100
"24",7247385,3,100
"25",7247386,4,100
"26",7247397,3,100
"27",7247398,3,70
"28",7247403,3,100
"29",7247416,4,100
"30",7247417,3,100
"31",7247418,3,100
"32",7247424,3,100
"33",7247433,7,100
"34",7247440,2,100
"35",7247442,3,100
"36",7247442,4,100
"37",7247443,2,100
"38",7247451,4,100
"39",7247452,3,100
"40",7247461,4,100
"41",7247463,3,100
"42",7247463,4,100
"43",7247464,3,100
"44",7247464,4,100
"45",7247464,5,100
"46",7247466,2,100
"47",7247470,3,100
"48",7247470,4,100
"49",7247476,4,100
"50",7247484,3,100
"51",7247487,3,100
"52",7247490,3,100
"53",7247493,5,100
"54",7247495,6,100
"55",7247495,7,100
"56",7247498,3,100
"57",7247501,3,100
"58",7247501,4,70
"59",7247501,7,100
"60",7247503,4,60
"61",7247503,5,60
"62",7247504,5,70
"63",7247504,6,70
"64",7247505,4,100
"65",7247509,4,100
"66",7247509,7,100
"67",7247510,5,60
"68",7247512,3,100
"69",7247531,2,100
"70",7247532,3,100
"71",7247538,3,100
"72",7247542,2,100
"73",7247548,3,100
"74",7247553,5,70
"75",7247576,3,100
"76",7247576,4,100
"77",7247587,4,100
"78",7247600,6,100
"79",7247613,5,100
"80",7247617,3,100
"81",7247621,7,100
"82",7247631,4,100
"83",7247631,5,100
"84",7247631,6,100
"85",7247642,3,100
"86",7247644,3,100
"87",7247644,4,100
"88",7247645,5,100
"89",7247645,6,100
"90",7247652,4,100
"91",7247668,4,100
"92",7247670,3,100
"93",7247673,4,100
"94",7247673,5,60
"95",7247678,3,100
"96",7247680,3,60
"97",7247681,3,100
"98",7247685,3,100
"99",7247688,2,100
"100",7247688,3,100
"101",7247688,4,100
"102",7247691,5,100
"103",7247692,5,100
"104",7247695,3,100
"105",7247695,4,100
"106",7247697,2,100
"107",7247698,3,100
"108",7247699,3,100
"109",7247699,4,70
"110",7247699,5,70
"111",7247700,3,100
"112",7247700,4,100
"113",7247705,3,100
"114",7247707,3,100
"115",7247707,4,100
"116",7247710,6,100
"117",7247712,3,100
"118",7247712,4,100
"119",7247713,3,100
"120",7247714,3,100
"121",7247714,4,100
"122",7247714,5,100
"123",7247714,6,100
"124",7247717,3,100
"125",7247718,3,100
"126",7247718,4,100
"127",7247718,5,100
"128",7247720,5,100
"129",7247727,3,100
"130",7247730,2,100
"131",7247731,4,100
"132",7247732,6,100
"133",7247735,2,100
"134",7247735,3,100
"135",7247739,3,100
"136",7247740,6,70
"137",7247745,4,100
"138",7247746,3,100
"139",7247747,3,70
"140",7247748,5,100
"141",7247751,3,100
"142",7247753,4,100
"143",7247754,4,100
"144",7247755,4,100
"145",7247756,4,100
"146",7247757,4,100
"147",7247758,2,100
"148",7247773,3,100
"149",7247773,4,100
"150",7247775,6,100
"151",7247778,4,100
"152",7247782,5,100
"153",7247784,5,100
"154",7247792,3,100
"155",7247793,4,100
"156",7247794,3,100
"157",7247802,5,100
"158",7247804,3,100
"159",7247815,3,100
"160",7247815,4,100
"161",7247816,4,100
"162",7247816,4,100
"163",7247817,4,100
"164",7247817,6,100
"165",7247818,4,100
"166",7247825,4,100
"167",7247827,2,100
"168",7247828,4,100
"169",7247829,4,100
"170",7247829,8,100
"171",7247829,9,100
"172",7247831,4,100
"173",7247832,3,100
"174",7247832,4,100
"175",7247833,3,100
"176",7247843,3,100
"177",7247844,3,100
"178",7247859,6,100
"179",7247862,3,100
"180",7247866,3,100
"181",7247866,4,100
"182",7247870,3,100
"183",7247872,2,100
"184",7247873,4,100
"185",7247874,2,100
"186",7247883,3,100
"187",7247883,5,70
"188",7247886,3,70
"189",7247887,5,100
"190",7247893,6,70
"191",7247900,5,100
"192",7247901,6,100
"193",7247904,3,100
"194",7247905,4,100
"195",7247907,3,100
"196",7247908,3,100
"197",7247917,4,100
"198",7247918,3,100
"199",7247921,4,100
"200",7247925,5,100
"201",7247933,3,100
"202",7247936,4,100
"203",7247936,5,100
"204",7247938,3,100
"205",7247942,3,100
"206",7247951,4,100
"207",7247953,3,100
"208",7247953,4,100
"209",7247955,5,100
"210",7247959,3,100
"211",7247961,2,100
"212",7247970,4,100
"213",7247971,3,100
"214",7247974,2,100
"215",7247978,3,100
"216",7247979,3,100
"217",7247981,4,100
"218",7247981,5,100
"219",7247995,3,60
"220",7247997,3,100
"221",7247998,2,100
"222",7248001,4,100
"223",7248008,3,100
"224",7248010,3,100
"225",7248010,4,100
"226",7248010,5,100
"227",7248011,7,100
"228",7248012,3,100
"229",7248013,2,100
"230",7248018,3,100
"231",7248021,2,100
"232",7248026,4,100
"233",7248027,3,100
"234",7248032,3,100
"235",7248038,5,100
"236",7248044,3,100
"237",7248046,4,100
"238",7248050,4,100
"239",7248055,4,100
"240",7248064,7,100
"241",7248065,3,100
"242",7248065,4,100
"243",7248071,4,100
"244",7248072,3,100
"245",7248072,4,100
"246",7248077,4,100
"247",7248086,5,100
"248",7248087,3,100
"249",7248087,4,100
"250",7248088,6,100
"251",7248090,8,100
"252",7248095,2,100
"253",7248096,3,100
"254",7248105,3,100
"255",7248107,3,100
"256",7248107,4,100
"257",7248120,3,100
"258",7248120,4,100
"259",7248124,2,100
"260",7248124,2,100
"261",7248124,2,100
"262",7248124,2,100
"263",7248127,5,100
"264",7248127,6,100
"265",7248128,3,100
"266",7248146,3,100
"267",7248153,3,100
"268",7248153,4,100
"269",7248159,5,70
"270",7248172,3,100
"271",7248175,4,100
"272",7248179,3,100
"273",7248180,3,100
"274",7248196,2,100
"275",7248196,3,100
"276",7248197,4,100
"277",7248199,3,100
"278",7248206,5,100
"279",7248209,5,70
"280",7248219,4,100
"281",7248235,2,60
"282",7248240,4,100
"283",7248242,3,100
"284",7248242,4,100
"285",7248243,5,100
"286",7248245,4,100
"287",7248247,3,100
"288",7248247,4,100
"289",7248257,3,100
"290",7248258,3,100
"291",7248267,3,100
"292",7248275,3,100
"293",7248278,3,100
"294",7248280,4,100
"295",7248290,6,100
"296",7248294,4,100
"297",7248294,5,100
"298",7248305,3,100
"299",7248316,7,100
"300",7248318,4,100
"301",7248320,4,100
"302",7248323,6,70
"303",7248328,3,60
"304",7248330,4,100
"305",7248330,5,100
"306",7248335,3,100
"307",7248336,2,100
"308",7248340,4,100
"309",7248341,4,100
"310",7248342,3,25
"311",7248355,3,100
"312",7248359,4,100
"313",7248372,3,100
"314",7248372,4,100
"315",7248375,5,100
"316",7248376,3,100
"317",7248387,3,70
"318",7248389,5,100
"319",7248391,7,100
"320",7248391,8,100
"321",7248392,4,30
"322",7248400,3,100
"323",7248401,3,100
"324",7248407,6,100
"325",7248413,3,100
"326",7248417,3,100
"327",7248421,4,100
"328",7248422,3,100
"329",7248425,2,100
"330",7248425,3,100
"331",7248432,4,100
"332",7248435,2,100
"333",7248435,3,100
"334",7248446,5,100
"335",7248453,4,100
"336",7248458,3,100
"337",7248459,5,100
"338",7248462,5,100
"339",7248462,6,100
"340",7248472,4,100
"341",7248477,3,100
"342",7248477,4,100
"343",7248479,3,100
"344",7248479,4,100
"345",7248480,5,100
"346",7248481,3,100
"347",7248490,2,100
"348",7248495,3,100
"349",7248500,4,100
"350",7248502,3,100
"351",7248507,3,100
"352",7248507,4,100
"353",7248511,3,100
"354",7248511,4,100
"355",7248512,4,100
"356",7248517,2,100
"357",7248518,4,100
"358",7248523,2,100
"359",7248542,6,100
"360",7248543,6,100
"361",7248549,4,100
"362",7248562,3,100
"363",7248571,4,60
"364",7248584,4,60
"365",7248589,2,60
"366",7248595,3,60
"367",7248605,3,100
"368",7248611,3,100
"369",7248626,3,100
"370",7248627,3,100
"371",7248627,4,100
"372",7248636,3,100
"373",7248636,4,100
"374",7248638,3,100
"375",7248639,3,100
"376",7248639,4,100
"377",7248646,4,100
"378",7248653,3,100
"379",7248659,5,100
"380",7248662,3,70
"381",7248668,5,100
"382",7248672,5,100
"383",7248672,6,100
"384",7248677,4,100
"385",7248678,3,100
"386",7248690,3,100
"387",7248698,2,100
"388",7248700,3,100
"389",7248703,2,25
"390",7248709,3,100
"391",7248709,4,100
"392",7248721,3,100
"393",7248721,4,100
"394",7248721,5,100
"395",7248721,6,100
"396",7248728,2,100
"397",7248745,3,100
"398",7248751,2,100
"399",7248751,3,100
"400",7248753,4,100
"401",7248754,3,100
"402",7248754,4,100
"403",7248755,3,100
"404",7248756,5,100
"405",7248757,4,100
"406",7248758,3,100
"407",7248763,5,100
"408",7248765,6,100
"409",7248773,4,100
"410",7248775,5,100
"411",7248784,5,100
"412",7248787,3,70
"413",7248791,5,100
"414",7248792,4,100
"415",7248811,4,100
"416",7248816,4,100
"417",7248820,5,100
"418",7248824,3,100
"419",7248829,3,100
"420",7248831,3,100
"421",7248835,3,100
"422",7248837,2,100
"423",7248838,2,100
"424",7248839,3,100
"425",7248840,3,100
"426",7248864,3,70
"427",7248869,3,100
"428",7248872,5,70
"429",7248876,3,70
"430",7248877,3,100
"431",7248877,4,100
"432",7248883,5,100
"433",7248883,6,100
"434",7248887,2,100
"435",7248898,4,100
"436",7248900,7,100
"437",7248902,4,100
"438",7248906,2,100
"439",7248906,3,100
"440",7248908,5,100
"441",7248908,6,100
"442",7248911,3,100
"443",7248915,3,100
"444",7248916,3,100
"445",7248921,3,100
"446",7248925,4,100
"447",7248927,3,100
"448",7248932,3,100
"449",7248934,3,100
"450",7248940,3,100
"451",7248940,7,100
"452",7248941,3,60
"453",7248944,3,100
"454",7248946,4,100
"455",7248946,5,100
"456",7248948,3,100
"457",7248950,2,100
"458",7248950,3,100
"459",7248952,5,100
"460",7248957,3,100
"461",7248960,3,100
"462",7248965,3,100
"463",7248977,3,100
"464",7248983,3,100
"465",7248991,5,100
"466",7248991,6,100
"467",7248997,3,100
"468",7249016,6,100
"469",7249021,3,100
"470",7249021,4,100
"471",7249036,3,100
"472",7249037,4,100
"473",7249038,2,60
"474",7249050,6,100
"475",7249055,3,100
"476",7249056,3,100
"477",7249057,3,100
"478",7249058,3,100
"479",7249059,3,100
"480",7249059,4,100
"481",7249060,2,100
"482",7249070,3,100
"483",7249070,4,100
"484",7249077,3,100
"485",7249077,4,100
"486",7249078,3,100
"487",7249079,2,100
"488",7249081,5,70
"489",7249083,6,100
"490",7249085,2,60
"491",7249087,5,100
"492",7249093,3,100
"493",7249097,4,100
"494",7249097,5,100
"495",7249097,6,100
"496",7249098,3,100
"497",7249099,5,70
"498",7249100,5,100
"499",7249109,4,100
"500",7249109,5,100
"501",7249113,4,100
"502",7249114,3,100
"503",7249114,4,100
"504",7249116,3,100
"505",7249117,5,100
"506",7249118,3,100
"507",7249118,4,100
"508",7249118,5,100
"509",7249119,4,100
"510",7249119,5,100
"511",7249123,3,100
"512",7249123,4,100
"513",7249125,2,100
"514",7249131,3,100
"515",7249136,4,100
"516",7249142,3,100
"517",7249152,3,100
"518",7249155,5,100
"519",7249155,6,100
"520",7249157,4,100
"521",7249160,7,100
"522",7249166,6,100
"523",7249169,3,100
"524",7249180,3,100
"525",7249183,4,100
"526",7249184,5,100
"527",7249184,6,100
"528",7249187,3,100
"529",7249189,3,100
"530",7249201,4,100
"531",7249211,2,100
"532",7249237,3,100
"533",7249237,5,70
"534",7249240,5,100
"535",7249245,3,100
"536",7249251,5,100
"537",7249252,2,100
"538",7249255,3,100
"539",7249255,4,100
"540",7249260,5,70
"541",7249261,4,100
"542",7249261,5,100
"543",7249269,3,70
"544",7249273,3,100
"545",7249276,3,70
"546",7249277,3,100
"547",7249278,4,100
"548",7249285,4,100
"549",7249285,6,100
"550",7249287,3,70
"551",7249290,3,100
"552",7249296,4,100
"553",7249298,4,100
"554",7249298,5,60
"555",7249304,3,100
"556",7249306,3,100
"557",7249308,4,100
"558",7249311,3,100
"559",7249317,5,100
"560",7249319,3,100
"561",7249319,4,100
"562",7249320,2,100
"563",7249322,2,100
"564",7249322,3,100
"565",7249324,3,100
"566",7249324,4,100
"567",7249329,3,100
"568",7249329,4,100
"569",7249330,4,60
"570",7249342,5,100
"571",7249344,4,100
"572",7249344,5,100
"573",7249349,5,60
"574",7249351,3,100
"575",7249361,4,60
"576",7249362,3,100
"577",7249362,4,100
"578",7249364,3,60
"579",7249377,3,70
"580",7249380,6,100
"581",7249382,3,100
"582",7249382,4,70
"583",7249385,5,100
"584",7249386,3,100
"585",7249386,4,100
"586",7249394,4,100
"587",7249394,5,100
"588",7249396,2,100
"589",7249398,4,100
"590",7249401,3,100
"591",7249406,3,100
"592",7249407,2,100
"593",7249408,3,100
"594",7249408,4,100
"595",7249409,4,100
"596",7249424,2,100
"597",7249431,3,100
"598",7249431,4,100
"599",7249432,4,100
"600",7249433,4,100
"601",7249434,3,100
"602",7249434,4,100
"603",7249448,3,60
"604",7249453,4,100
"605",7249454,3,70
"606",7249457,3,100
"607",7249458,3,100
"608",7249462,3,100
"609",7249464,4,100
"610",7249464,5,100
"611",7249482,2,100
"612",7249488,3,100
"613",7249508,4,100
"614",7249509,4,100
"615",7249510,2,100
"616",7249510,3,100
"617",7249516,3,100
"618",7249517,3,100
"619",7249519,4,100
"620",7249522,3,100
"621",7249539,3,100
"622",7249539,4,70
"623",7249541,3,100
"624",7249544,4,100
"625",7249548,4,100
"626",7249548,5,100
"627",7249562,5,100
"628",7249562,6,100
"629",7249570,3,100
"630",7249570,5,100
"631",7249571,4,100
"632",7249573,3,100
"633",7249573,4,70
"634",7249581,2,100
"635",7249586,2,100
"636",7249587,3,100
"637",7249592,4,70
"638",7249593,5,100
"639",7249609,2,100
"640",7249609,3,100
"641",7249609,3,100
"642",7249609,3,100
"643",7249609,3,100
"644",7249614,2,100
"645",7249618,3,100
"646",7249620,4,100
"647",7249621,4,100
"648",7249622,4,60
"649",7249641,4,100
"650",7249644,3,100
"651",7249651,4,100
"652",7249653,3,70
"653",7249662,2,100
"654",7249662,3,100
"655",7249664,3,100
"656",7249669,4,100
"657",7249669,5,100
"658",7249683,3,100
"659",7249683,4,100
"660",7249698,3,100
"661",7249699,4,100
"662",7249709,3,100
"663",7249710,2,100
"664",7249715,3,100
"665",7249717,2,100
"666",7249720,5,100
"667",7249723,3,100
"668",7249727,4,100
"669",7249744,5,100
"670",7249745,3,70
"671",7249745,4,70
"672",7249747,3,100
"673",7249758,5,100
"674",7249763,4,100
"675",7249764,5,70
"676",7249765,3,100
"677",7249767,3,100
"678",7249780,4,70
"679",7249783,4,100
"680",7249792,3,100
"681",7249804,3,70
"682",7249805,2,100
"683",7249806,3,100
"684",7249812,3,100
"685",7249824,3,100
"686",7249824,4,100
"687",7249826,3,100
"688",7249830,4,100
"689",7249832,3,100
"690",7249835,3,100
"691",7249836,4,100
"692",7249839,3,100
"693",7249844,3,100
"694",7249844,4,100
"695",7249845,4,100
"696",7249847,3,100
"697",7249865,3,100
"698",7249870,3,100
"699",7249881,4,100
"700",7249887,4,60
"701",7249897,3,100
"702",7249898,4,100
"703",7249902,3,100
"704",7249903,4,100
"705",7249905,4,100
"706",7249905,6,100
"707",7249908,6,100
"708",7249909,4,100
"709",7249909,5,100
"710",7249911,3,100
"711",7249913,4,100
"712",7249922,3,100
"713",7249926,3,100
"714",7249935,3,100
"715",7249935,4,100
"716",7249937,5,100
"717",7249938,4,100
"718",7249938,5,100
"719",7249946,3,100
"720",7249946,4,100
"721",7249947,5,100
"722",7249950,3,100
"723",7249951,5,100
"724",7249952,4,100
"725",7249953,4,100
"726",7249957,4,100
"727",7249958,6,100
"728",7249958,7,100
"729",7249959,6,100
"730",7249972,3,70
"731",7249973,3,100
"732",7249973,4,100
"733",7249977,4,100
"734",7249988,2,100
"735",7249988,3,100
"736",7249989,3,100
"737",7249990,3,100
"738",7249991,3,70
"739",7249995,5,100
"740",7249996,3,100
"741",7250001,3,70
"742",7250005,3,100
"743",7250007,3,60
"744",7250007,4,100
"745",7250018,3,100
"746",7250018,4,100
"747",7250019,4,100
"748",7250020,3,100
"749",7250021,3,100
"750",7250021,4,100
"751",7250026,3,100
"752",7250029,5,100
"753",7250029,6,100
"754",7250043,3,100
"755",7250043,4,100
"756",7250052,2,70
"757",7250055,3,100
"758",7250057,4,100
"759",7250059,3,100
"760",7250059,4,100
"761",7250060,3,100
"762",7250060,4,100
"763",7250063,5,70
"764",7250065,5,100
"765",7250066,5,100
"766",7250067,4,100
"767",7250070,4,100
"768",7250070,5,100
"769",7250070,6,100
"770",7250071,3,100
"771",7250072,2,100
"772",7250073,3,100
"773",7250075,3,100
"774",7250076,5,100
"775",7250078,3,100
"776",7250079,3,100
"777",7250079,4,100
"778",7250085,5,100
"779",7250086,4,100
"780",7250086,5,100
"781",7250093,3,100
"782",7250099,6,100
"783",7250100,3,100
"784",7250100,4,100
"785",7250101,3,100
"786",7250105,5,100
"787",7250106,5,100
"788",7250110,2,100
"789",7250115,3,70
"790",7250116,2,100
"791",7250116,3,100
"792",7250118,3,100
"793",7250118,4,100
"794",7250126,3,100
"795",7250126,4,100
"796",7250126,5,100
"797",7250129,5,100
"798",7250132,5,100
"799",7250137,3,100
"800",7250137,4,100
"801",7250138,3,100
"802",7250140,3,100
"803",7250145,3,100
"804",7250146,3,100
"805",7250148,3,100
"806",7250149,5,100
"807",7250152,3,100
"808",7250152,4,100
"809",7250155,4,100
"810",7250161,3,100
"811",7250162,5,100
"812",7250168,4,100
"813",7250168,5,100
"814",7250171,3,100
"815",7250173,3,100
"816",7250175,8,100
"817",7250175,9,100
"818",7250178,3,100
"819",7250188,5,100
"820",7250188,6,100
"821",7250198,3,100
"822",7250202,2,100
"823",7250215,4,100
"824",7250222,5,100
"825",7250224,3,70
"826",7250235,3,100
"827",7250238,3,100
"828",7250246,2,100
"829",7250249,2,100
"830",7250255,4,100
"831",7250255,5,100
"832",7250257,5,100
"833",7250257,6,100
"834",7250261,3,100
"835",7250264,4,100
"836",7250268,3,70
"837",7250268,4,70
"838",7250269,3,100
"839",7250269,4,100
"840",7250272,2,100
"841",7250274,3,100
"842",7250274,4,100
"843",7250280,3,100
"844",7250282,3,100
"845",7250282,4,100
"846",7250286,7,100
"847",7250286,8,100
"848",7250288,4,100
"849",7250289,5,100
"850",7250293,4,100
"851",7250296,5,100
"852",7250302,5,100
"853",7250302,6,100
"854",7250302,7,100
"855",7250302,8,70
"856",7250307,3,100
"857",7250307,4,100
"858",7250308,3,100
"859",7250308,4,100
"860",7250308,5,100
"861",7250309,3,100
"862",7250316,5,100
"863",7250316,6,100
"864",7250318,4,100
"865",7250320,3,100
"866",7250320,4,100
"867",7250323,4,100
"868",7250324,3,100
"869",7250330,11,100
"870",7250330,12,100
"871",7250330,7,100
"872",7250331,6,100
"873",7250331,7,100
"874",7250332,4,100
"875",7250342,4,100
"876",7250344,4,100
"877",7250347,2,100
"878",7250348,4,60
"879",7250349,3,100
"880",7250353,6,100
"881",7250356,4,100
"882",7250358,6,100
"883",7250358,7,100
"884",7250359,4,100
"885",7250361,3,100
"886",7250362,4,100
"887",7250363,6,100
"888",7250364,5,100
"889",7250368,3,100
"890",7250369,3,100
"891",7250369,4,100
"892",7250372,4,100
"893",7250372,5,100
"894",7250373,2,100
"895",7250390,3,100
"896",7250391,4,100
"897",7250392,3,100
"898",7250399,3,100
"899",7250401,3,100
"900",7250403,4,100
"901",7250406,5,100
"902",7250408,4,100
"903",7250410,3,100
"904",7250414,4,70
