"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda"
"1",7247300,1,72.72
"2",7247300,2,72.72
"3",7247300,3,72.72
"4",7247301,1,87.87
"5",7247301,2,87.87
"6",7247302,6,81.81
"7",7247310,1,75.75
"8",7247310,2,75.75
"9",7247311,1,81.81
"10",7247312,1,69.69
"11",7247312,5,69.69
"12",7247312,6,69.69
"13",7247312,7,69.69
"14",7247323,1,78.78
"15",7247323,2,78.78
"16",7247324,1,72.72
"17",7247328,1,84.84
"18",7247328,2,84.84
"19",7247329,1,72.72
"20",7247335,1,63.63
"21",7247335,2,63.63
"22",7247344,4,60.6
"23",7247355,3,66.66
"24",7247356,1,72.72
"25",7247369,1,66.66
"26",7247375,5,75.75
"27",7247377,1,81.81
"28",7247377,2,81.81
"29",7247379,1,93.93
"30",7247382,1,75.75
"31",7247382,2,75.75
"32",7247388,1,78.78
"33",7247388,2,78.78
"34",7247391,1,81.81
"35",7247391,2,81.81
"36",7247392,1,78.78
"37",7247392,2,78.78
"38",7247394,1,81.81
"39",7247402,1,57.57
"40",7247423,1,69.69
"41",7247425,1,60.6
"42",7247425,2,60.6
"43",7247439,1,30.3
"44",7247444,1,33.33
"45",7247444,3,33.33
"46",7247458,1,90.9
"47",7247458,2,90.9
"48",7247467,1,90.9
"49",7247467,2,90.9
"50",7247473,1,90.9
"51",7247474,1,93.93
"52",7247484,1,66.66
"53",7247487,1,75.75
"54",7247487,4,75.75
"55",7247489,1,72.72
"56",7247489,2,72.72
"57",7247493,1,72.72
"58",7247493,2,72.72
"59",7247495,1,63.63
"60",7247506,1,72.72
"61",7247506,2,72.72
"62",7247509,1,93.93
"63",7247510,3,81.81
"64",7247517,1,69.69
"65",7247518,1,78.78
"66",7247520,1,81.81
"67",7247538,1,72.72
"68",7247541,1,60.6
"69",7247541,2,60.6
"70",7247546,1,60.6
"71",7247546,2,60.6
"72",7247549,1,54.54
"73",7247549,2,54.54
"74",7247550,1,45.45
"75",7247551,2,45.45
"76",7247552,1,57.57
"77",7247553,1,45.45
"78",7247553,2,45.45
"79",7247558,1,54.54
"80",7247560,1,63.63
"81",7247560,2,63.63
"82",7247570,1,54.54
"83",7247578,1,51.51
"84",7247584,1,78.78
"85",7247585,1,57.57
"86",7247600,1,63.63
"87",7247600,2,63.63
"88",7247615,1,54.54
"89",7247617,2,60.6
"90",7247621,8,87.87
"91",7247626,1,72.72
"92",7247637,1,48.48
"93",7247637,2,48.48
"94",7247641,1,45.45
"95",7247647,2,51.51
"96",7247653,2,66.66
"97",7247657,1,57.57
"98",7247657,2,57.57
"99",7247658,2,69.69
"100",7247659,1,66.66
"101",7247660,1,57.57
"102",7247662,1,69.69
"103",7247662,2,69.69
"104",7247665,1,69.69
"105",7247665,2,69.69
"106",7247666,1,72.72
"107",7247668,1,63.63
"108",7247671,1,69.69
"109",7247671,2,69.69
"110",7247672,1,66.66
"111",7247673,6,66.66
"112",7247679,1,75.75
"113",7247679,2,75.75
"114",7247681,5,63.63
"115",7247683,2,78.78
"116",7247684,1,63.63
"117",7247686,1,63.63
