"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1",7247302,5,81.81
"2",7247303,4,69.69
"3",7247304,3,66.66
"4",7247304,4,66.66
"5",7247307,2,75.75
"6",7247309,3,78.78
"7",7247312,3,69.69
"8",7247320,5,81.81
"9",7247331,3,72.72
"10",7247331,4,72.72
"11",7247331,5,72.72
"12",7247332,3,63.63
"13",7247333,3,63.63
"14",7247333,4,63.63
"15",7247338,3,45.45
"16",7247341,3,54.54
"17",7247344,3,60.6
"18",7247345,3,42.42
"19",7247345,5,42.42
"20",7247351,4,69.69
"21",7247352,3,81.81
"22",7247352,4,81.81
"23",7247352,5,81.81
"24",7247353,3,81.81
"25",7247353,4,81.81
"26",7247356,3,72.72
"27",7247356,2,72.72
"28",7247359,3,81.81
"29",7247359,4,81.81
"30",7247359,5,81.81
"31",7247360,3,78.78
"32",7247360,4,78.78
"33",7247363,3,72.72
"34",7247366,3,69.69
"35",7247367,6,72.72
"36",7247369,4,66.66
"37",7247371,3,51.51
"38",7247371,5,51.51
"39",7247372,4,72.72
"40",7247374,3,96.96
"41",7247375,3,75.75
"42",7247375,4,75.75
"43",7247378,2,72.72
"44",7247378,3,72.72
"45",7247379,6,93.93
"46",7247380,4,72.72
"47",7247383,2,69.69
"48",7247385,3,75.75
"49",7247385,4,75.75
"50",7247386,3,72.72
"51",7247386,4,72.72
"52",7247393,3,81.81
"53",7247397,3,78.78
"54",7247397,4,78.78
"55",7247398,3,66.66
"56",7247399,3,75.75
"57",7247403,3,69.69
"58",7247406,3,54.54
"59",7247409,3,42.42
"60",7247411,3,45.45
"61",7247413,3,51.51
"62",7247414,2,39.39
"63",7247416,4,33.33
"64",7247417,3,63.63
"65",7247418,3,63.63
"66",7247418,4,63.63
"67",7247423,4,69.69
"68",7247424,3,69.69
"69",7247424,4,69.69
"70",7247424,5,69.69
"71",7247433,7,42.42
"72",7247434,3,42.42
"73",7247435,3,54.54
"74",7247437,3,48.48
"75",7247440,2,33.33
"76",7247440,4,33.33
"77",7247442,3,30.3
"78",7247442,4,30.3
"79",7247442,5,30.3
"80",7247442,6,30.3
"81",7247443,2,30.3
"82",7247449,3,81.81
"83",7247451,4,84.84
"84",7247452,3,66.66
"85",7247452,4,66.66
"86",7247456,3,87.87
"87",7247457,3,84.84
"88",7247461,3,90.9
"89",7247461,4,90.9
"90",7247461,5,90.9
"91",7247462,3,81.81
"92",7247462,4,81.81
"93",7247463,3,81.81
"94",7247463,4,81.81
"95",7247464,3,75.75
"96",7247464,4,75.75
"97",7247464,5,75.75
"98",7247466,2,57.57
"99",7247468,6,69.69
"100",7247469,4,66.66
"101",7247470,3,71.2
"102",7247470,4,71.2
"103",7247472,4,72.72
"104",7247476,3,78.78
"105",7247476,4,78.78
"106",7247484,3,66.66
"107",7247487,3,75.75
"108",7247490,3,78.78
"109",7247490,4,78.78
"110",7247491,4,63.63
"111",7247493,5,72.72
"112",7247494,3,72.72
"113",7247495,6,63.63
"114",7247495,7,63.63
"115",7247497,3,75.75
"116",7247497,4,75.75
"117",7247498,3,75.75
"118",7247498,4,75.75
"119",7247498,5,75.75
"120",7247501,2,90.9
"121",7247501,3,90.9
"122",7247501,4,90.9
"123",7247501,7,90.9
"124",7247503,4,72.72
"125",7247503,5,72.72
"126",7247504,5,81.81
"127",7247504,6,81.81
"128",7247505,4,78.78
"129",7247507,3,75.75
"130",7247509,4,93.93
"131",7247509,5,93.93
"132",7247509,7,93.93
"133",7247510,5,81.81
"134",7247512,3,66.66
"135",7247515,4,72.72
"136",7247515,5,72.72
"137",7247516,3,81.81
"138",7247528,3,46.96
"139",7247528,4,46.96
"140",7247530,4,51.51
"141",7247531,2,60.6
"142",7247532,3,51.51
"143",7247532,4,51.51
"144",7247534,4,51.51
"145",7247535,5,51.51
"146",7247538,3,72.72
"147",7247542,2,60.6
"148",7247545,3,54.54
"149",7247548,3,54.54
"150",7247553,5,45.45
"151",7247567,3,45.45
"152",7247569,3,45.45
"153",7247576,3,39.39
"154",7247576,4,39.39
"155",7247576,5,39.39
"156",7247577,3,42.42
"157",7247587,4,57.57
"158",7247587,5,57.57
"159",7247600,5,63.63
"160",7247600,6,63.63
"161",7247600,7,63.63
"162",7247613,5,54.54
"163",7247615,3,54.54
"164",7247617,3,60.6
"165",7247621,7,87.87
"166",7247631,4,54.54
"167",7247631,5,54.54
"168",7247631,6,54.54
"169",7247632,5,63.63
"170",7247638,3,60.6
"171",7247642,3,63.63
"172",7247642,4,63.63
"173",7247644,3,45.45
"174",7247644,4,45.45
"175",7247645,5,54.54
"176",7247645,6,54.54
"177",7247652,4,69.69
"178",7247656,3,72.72
"179",7247668,4,63.63
"180",7247670,3,60.6
"181",7247670,4,60.6
"182",7247673,4,66.66
"183",7247673,5,66.66
"184",7247678,3,69.69
"185",7247680,3,57.57
"186",7247681,3,63.63
"187",7247681,4,63.63
"188",7247685,3,75.75
"189",7247685,6,75.75
"190",7247686,4,63.63
"191",7247688,2,63.63
"192",7247688,3,63.63
"193",7247688,4,63.63
"194",7247689,3,75.75
"195",7247691,5,54.54
"196",7247692,4,33.33
"197",7247692,5,33.33
"198",7247695,3,60.6
"199",7247695,4,60.6
"200",7247696,3,42.42
"201",7247697,2,42.42
"202",7247697,4,42.42
"203",7247698,3,45.45
"204",7247698,6,45.45
"205",7247698,7,45.45
"206",7247699,3,40.9
"207",7247699,4,40.9
"208",7247699,5,40.9
"209",7247700,3,45.45
"210",7247700,4,45.45
"211",7247705,3,45.45
"212",7247705,4,45.45
"213",7247705,5,45.45
"214",7247706,3,36.36
"215",7247706,4,36.36
"216",7247707,3,36.36
"217",7247707,4,36.36
"218",7247709,3,45.45
"219",7247710,6,36.36
"220",7247712,3,36.36
"221",7247712,4,36.36
"222",7247713,3,45.45
"223",7247713,4,45.45
"224",7247714,3,45.45
"225",7247714,4,45.45
"226",7247714,5,45.45
"227",7247714,6,45.45
"228",7247715,5,72.72
"229",7247717,3,63.63
"230",7247718,3,57.57
"231",7247718,4,57.57
"232",7247718,5,57.57
"233",7247719,3,48.48
"234",7247720,5,54.54
"235",7247727,3,81.81
"236",7247727,4,81.81
"237",7247728,3,81.81
"238",7247729,3,87.87
"239",7247730,2,78.78
"240",7247730,3,78.78
"241",7247731,4,87.87
"242",7247732,6,87.87
"243",7247735,2,68.17
"244",7247735,3,68.17
"245",7247736,3,69.69
"246",7247739,3,68.17
"247",7247740,6,69.69
"248",7247741,4,66.66
"249",7247741,5,66.66
"250",7247742,4,72.72
"251",7247742,5,72.72
"252",7247745,3,59.08
"253",7247745,4,59.08
"254",7247746,3,81.81
"255",7247747,3,78.78
"256",7247747,4,78.78
"257",7247748,5,72.72
"258",7247751,3,75.75
"259",7247751,4,75.75
"260",7247753,4,81.81
"261",7247754,3,90.9
"262",7247754,4,90.9
"263",7247754,5,90.9
"264",7247755,4,99.99
"265",7247756,4,81.81
"266",7247757,4,78.78
"267",7247758,2,90.9
"268",7247759,3,63.63
"269",7247770,5,66.66
"270",7247773,3,60.6
"271",7247773,4,60.6
"272",7247773,5,60.6
"273",7247775,5,90.9
"274",7247775,6,90.9
"275",7247778,4,75.75
"276",7247782,5,90.9
"277",7247784,5,84.84
"278",7247792,3,66.66
"279",7247792,4,66.66
"280",7247793,4,63.63
"281",7247793,5,63.63
"282",7247794,3,84.84
"283",7247794,4,84.84
"284",7247795,4,87.87
"285",7247800,6,90.9
"286",7247802,5,51.51
"287",7247804,3,72.72
"288",7247804,4,72.72
"289",7247804,5,72.72
"290",7247807,3,90.9
"291",7247815,3,72.72
"292",7247815,4,72.72
"293",7247816,4,75.75
"294",7247816,4,75.75
"295",7247817,4,66.66
"296",7247817,6,66.66
"297",7247818,4,63.63
"298",7247821,3,78.78
"299",7247823,3,72.72
"300",7247825,3,66.66
"301",7247825,4,66.66
"302",7247827,2,51.51
"303",7247828,4,72.72
"304",7247829,4,78.78
"305",7247829,5,78.78
"306",7247829,8,78.78
"307",7247829,9,78.78
"308",7247829,10,78.78
"309",7247831,4,63.63
"310",7247832,3,63.63
