"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1",7247300,1,71
"2",7247301,1,76
"3",7247310,1,51
"4",7247311,1,52
"5",7247312,1,69
"6",7247323,1,74
"7",7247324,1,72
"8",7247328,1,36
"9",7247329,1,50
"10",7247335,1,76
"11",7247356,1,58
"12",7247369,1,77
"13",7247377,1,67
"14",7247379,1,28
"15",7247382,1,55
"16",7247388,1,66
"17",7247391,1,81
"18",7247392,1,54
"19",7247394,1,81
"20",7247402,1,57
"21",7247423,1,86
"22",7247425,1,86
"23",7247439,1,76
"24",7247444,1,71
"25",7247458,1,79
"26",7247467,1,91
"27",7247473,1,52
"28",7247474,1,50
"29",7247484,1,87
"30",7247487,1,67
"31",7247489,1,91
"32",7247493,1,73
"33",7247495,1,86
"34",7247506,1,59
"35",7247509,1,71
"36",7247517,1,47
"37",7247518,1,79
"38",7247520,1,91
"39",7247538,1,91
"40",7247541,1,72
"41",7247546,1,66
"42",7247549,1,82
"43",7247550,1,56
"44",7247552,1,87
"45",7247553,1,91
"46",7247558,1,55
"47",7247560,1,91
"48",7247570,1,64
"49",7247578,1,86
"50",7247584,1,81
"51",7247585,1,91
"52",7247600,1,76
"53",7247615,1,91
"54",7247626,1,91
"55",7247637,1,49
"56",7247641,1,59
"57",7247657,1,38
"58",7247659,1,91
"59",7247660,1,51
"60",7247662,1,91
"61",7247665,1,81
"62",7247666,1,62
"63",7247668,1,43
"64",7247671,1,91
"65",7247672,1,91
"66",7247679,1,91
"67",7247684,1,64
"68",7247686,1,86
"69",7247693,1,81
"70",7247702,1,91
"71",7247708,1,86
"72",7247710,1,81
"73",7247717,1,66
"74",7247722,1,22
"75",7247746,1,62
"76",7247747,1,61
"77",7247748,1,83
"78",7247749,1,71
"79",7247752,1,86
"80",7247758,1,61
"81",7247763,1,5
"82",7247769,1,62
"83",7247777,1,76
"84",7247778,1,47
"85",7247781,1,75
"86",7247787,1,71
"87",7247788,1,67
"88",7247790,1,39
"89",7247793,1,60
"90",7247797,1,80
"91",7247806,1,42
"92",7247809,1,63
"93",7247810,1,91
"94",7247814,1,56
"95",7247817,1,43
"96",7247819,1,76
"97",7247820,1,74
"98",7247822,1,71
"99",7247823,1,43
"100",7247826,1,66
"101",7247835,1,81
"102",7247836,1,38
"103",7247841,1,86
"104",7247845,1,42
"105",7247847,1,49
"106",7247849,1,52
"107",7247856,1,40
"108",7247859,1,62
"109",7247861,1,67
"110",7247862,1,29
"111",7247866,1,34
"112",7247869,1,62
"113",7247875,1,64
"114",7247880,1,77
"115",7247882,1,61
"116",7247885,1,91
"117",7247891,1,54
"118",7247892,1,91
"119",7247896,1,52
"120",7247897,1,81
"121",7247898,1,69
"122",7247905,1,91
"123",7247907,1,47
"124",7247915,1,91
"125",7247922,1,13
"126",7247926,1,76
"127",7247927,1,86
"128",7247930,1,81
"129",7247931,1,91
"130",7247932,1,59
"131",7247937,1,71
"132",7247938,1,91
"133",7247940,1,66
"134",7247944,1,91
"135",7247950,1,91
"136",7247954,1,91
"137",7247956,1,59
"138",7247958,1,66
"139",7247963,1,91
"140",7247978,1,86
"141",7247979,1,91
"142",7247980,1,91
"143",7247982,1,87
"144",7247986,1,76
"145",7247987,1,52
"146",7247993,1,77
"147",7247994,1,76
"148",7248000,1,81
"149",7248003,1,76
"150",7248004,1,62
"151",7248007,1,45
"152",7248009,1,42
"153",7248019,1,60
"154",7248022,1,61
"155",7248025,1,66
"156",7248033,1,50
"157",7248035,1,69
"158",7248039,1,55
"159",7248048,1,32
"160",7248049,1,64
"161",7248063,1,74
"162",7248064,1,64
"163",7248066,1,66
"164",7248068,1,35
"165",7248088,1,91
"166",7248090,1,91
"167",7248097,1,25
"168",7248101,1,50
"169",7248111,1,49
"170",7248115,1,49
"171",7248117,1,91
"172",7248121,1,74
"173",7248125,1,58
"174",7248126,1,91
"175",7248138,1,76
"176",7248144,1,91
"177",7248171,1,65
"178",7248174,1,69
"179",7248176,1,86
"180",7248177,1,59
"181",7248183,1,46
