"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_salud","Satisfaccion_servicios_hogar","Satisfaccion_tecnologia","Satisfaccion_composicion_hogar","satisfaccion_total"
"1",7247300,1,72.72,60,72.5,69,29,71,7
"2",7247300,2,72.72,60,72,0,44,76,8
"3",7247300,3,72.72,80,71,0,52,51,9
"4",7247301,1,87.87,60,63,67,23,52,4
"5",7247301,2,87.87,60,71,0,23,69,10
"6",7247302,6,81.81,60,60.5,0,3,74,6
"7",7247310,1,75.75,60,72,66,36,72,8
"8",7247310,2,75.75,80,67.5,0,16,36,6
"9",7247311,1,81.81,60,66.5,67,16,50,7
"11",7247312,5,69.69,60,66,0,46,58,5
"12",7247312,6,69.69,60,64.5,0,4,77,6
"13",7247312,7,69.69,60,71,0,4,67,3
"14",7247323,1,78.78,44,54.5,64,44,28,9
"16",7247324,1,72.72,60,61,66,60,66,10
"17",7247328,1,84.84,60,75,68,36,81,10
"20",7247335,1,63.63,60,71,61,31,57,9
"22",7247344,4,60.6,60,71,0,52,86,9
"23",7247355,3,66.66,60,66,0,23,76,5
"25",7247369,1,66.66,60,61.5,58,36,79,6
"26",7247375,5,75.75,60,71,0,68,91,7
"27",7247377,1,81.81,60,68.5,60,54,52,10
"28",7247377,2,81.81,60,68.5,0,45,50,3
"29",7247379,1,93.93,60,66.5,69,3,87,10
"30",7247382,1,75.75,60,68,67,31,67,6
"31",7247382,2,75.75,60,61,0,3,91,6
"32",7247388,1,78.78,60,63,63,21,73,6
"33",7247388,2,78.78,60,70,0,21,86,7
"35",7247391,2,81.81,60,63,0,50,71,9
"36",7247392,1,78.78,60,68.5,64,54,47,8
"38",7247394,1,81.81,60,71,61,3,91,7
"39",7247402,1,57.57,60,75,58,23,91,7
"40",7247423,1,69.69,60,75,62,23,72,7
"41",7247425,1,60.6,60,71,59,21,66,8
"42",7247425,2,60.6,60,71,0,3,82,8
"43",7247439,1,30.3,60,71,57,23,56,7
"44",7247444,1,33.33,60,75,57,16,87,8
"45",7247444,3,33.33,60,74,0,36,91,5
"46",7247458,1,90.9,44,71,58,54,55,5
"47",7247458,2,90.9,60,71,0,3,91,5
"48",7247467,1,90.9,44,75,52,31,64,7
"49",7247467,2,90.9,44,75,0,3,86,5
"50",7247473,1,90.9,44,71,56,3,81,7
"51",7247474,1,93.93,60,71,57,3,91,8
"52",7247484,1,66.66,80,73.5,63,23,76,8
"55",7247489,1,72.72,44,56.5,48,23,49,8
"56",7247489,2,72.72,44,66,0,3,59,7
"57",7247493,1,72.72,60,66,51,36,38,0
"58",7247493,2,72.72,44,68.5,0,3,91,10
"59",7247495,1,63.63,60,68.5,46,23,51,7
"60",7247506,1,72.72,44,66,53,3,91,7
"61",7247506,2,72.72,60,71,0,52,81,7
"62",7247509,1,93.93,60,64,56,16,62,7
"63",7247510,3,81.81,60,60.5,0,16,43,10
"64",7247517,1,69.69,60,67.5,58,31,91,10
"65",7247518,1,78.78,60,70.5,59,16,91,7
"66",7247520,1,81.81,44,68.5,55,21,91,9
"67",7247538,1,72.72,60,66,61,54,64,5
"68",7247541,1,60.6,60,70.5,60,3,86,8
"69",7247541,2,60.6,60,66.5,0,36,81,8
"70",7247546,1,60.6,60,71,38,3,91,8
"71",7247546,2,60.6,60,59.5,0,3,86,6
"72",7247549,1,54.54,60,66.5,39,44,81,4
"73",7247549,2,54.54,60,64.5,0,36,66,8
"75",7247551,2,45.45,60,68.5,0,1,62,8
"76",7247552,1,57.57,60,70.5,60,36,61,8
"80",7247560,1,63.63,60,71,72,16,61,8
"81",7247560,2,63.63,60,62,0,16,5,9
"83",7247578,1,51.51,60,67.5,69,36,76,8
"84",7247584,1,78.78,60,66.5,58,31,47,8
"85",7247585,1,57.57,60,71,63,36,75,8
"88",7247615,1,54.54,60,57,69,54,39,10
"89",7247617,2,60.6,60,61.5,0,54,60,9
"90",7247621,8,87.87,60,71,0,59,80,9
"91",7247626,1,72.72,60,63,69,29,42,10
"92",7247637,1,48.48,60,68.5,61,3,63,10
"94",7247641,1,45.45,44,75,61,23,56,6
"95",7247647,2,51.51,60,71,0,23,43,5
"96",7247653,2,66.66,60,64.5,0,3,76,6
"97",7247657,1,57.57,60,63.5,60,3,74,6
"98",7247657,2,57.57,60,75,0,3,71,6
"99",7247658,2,69.69,60,63,0,23,43,10
