"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_tecnologia","Satisfaccion_trabajo","Satisfaccion_salud"
"1",7247302,5,81.81,40,31,100,66
"2",7247303,4,69.69,64,40,100,69
"3",7247304,3,66.66,48,32,100,71
"4",7247304,4,66.66,40,31,100,67
"5",7247307,2,75.75,48,23,100,69
"6",7247309,3,78.78,40,31,100,75
"7",7247312,3,69.69,40,31,100,71
"8",7247320,5,81.81,32,26,100,71
"9",7247331,3,72.72,32,26,100,71
"10",7247331,4,72.72,40,31,100,62.5
"11",7247331,5,72.72,40,31,100,71
"12",7247332,3,63.63,24,24,100,71
"13",7247333,3,63.63,56,23,100,71
"14",7247333,4,63.63,48,60,100,71
"15",7247338,3,45.45,32,30,100,71
"16",7247341,3,54.54,56,56,100,71
"17",7247344,3,60.6,56,54,100,71
"18",7247345,3,42.42,48,1,100,71
"19",7247345,5,42.42,40,31,100,69
"20",7247351,4,69.69,56,28,100,67
"21",7247352,3,81.81,40,31,100,59.5
"22",7247352,4,81.81,40,31,100,71
"23",7247352,5,81.81,40,31,100,71
"24",7247353,3,81.81,48,27,100,67
"25",7247353,4,81.81,40,31,100,67
"26",7247356,3,72.72,40,29,100,71
"27",7247356,2,72.72,40,28,100,67
"28",7247359,3,81.81,40,34,100,71
"29",7247359,4,81.81,48,34,100,71
"30",7247359,5,81.81,40,31,100,71
"31",7247360,3,78.78,20,66,100,69
"32",7247360,4,78.78,48,25,100,68
"33",7247363,3,72.72,48,0,100,71
"34",7247366,3,69.69,48,0,100,71
"35",7247367,6,72.72,40,31,100,73
"36",7247369,4,66.66,40,31,100,60.5
"37",7247371,3,51.51,40,31,100,71
"38",7247371,5,51.51,40,31,100,71
"39",7247372,4,72.72,40,31,100,69
"40",7247374,3,96.96,40,31,100,47.5
"41",7247375,3,75.75,48,3,100,69
"42",7247375,4,75.75,48,1,100,71
"43",7247378,2,72.72,40,31,100,68.5
"44",7247378,3,72.72,40,31,100,71
"45",7247379,6,93.93,40,31,100,71
"46",7247380,4,72.72,40,31,100,71
"47",7247383,2,69.69,64,39,100,69
"48",7247385,3,75.75,56,3,100,71
"49",7247385,4,75.75,40,31,100,71
"50",7247386,3,72.72,48,32,100,71
"51",7247386,4,72.72,48,1,100,68
"52",7247393,3,81.81,56,1,100,71
"53",7247397,3,78.78,48,3,100,71
"54",7247397,4,78.78,40,31,100,71
"55",7247398,3,66.66,32,24,100,70
"56",7247399,3,75.75,40,31,100,71
"57",7247403,3,69.69,24,62,100,71
"58",7247406,3,54.54,40,31,100,67
"59",7247409,3,42.42,40,31,100,71
"60",7247411,3,45.45,40,31,100,71
"61",7247413,3,51.51,40,31,100,61.5
"62",7247414,2,39.39,40,31,100,67
"63",7247416,4,33.33,32,1,70,71
"64",7247417,3,63.63,32,25,100,71
"65",7247418,3,63.63,32,16,100,71
"66",7247418,4,63.63,40,31,100,66
"67",7247423,4,69.69,32,44,100,67
"68",7247424,3,69.69,32,23,100,68
"69",7247424,4,69.69,40,31,100,71
"70",7247424,5,69.69,40,31,100,73
"71",7247433,7,42.42,26,24,100,71
"72",7247434,3,42.42,40,31,100,67
"73",7247435,3,54.54,40,31,100,69
"74",7247437,3,48.48,40,31,100,68
"75",7247440,2,33.33,32,23,100,71
"76",7247440,4,33.33,40,31,100,67
"77",7247442,3,30.3,32,27,100,71
"78",7247442,4,30.3,32,60,100,71
"79",7247442,5,30.3,40,31,100,69
"80",7247442,6,30.3,40,31,100,71
"81",7247443,2,30.3,64,26,100,71
"82",7247449,3,81.81,40,31,100,75
"83",7247451,4,84.84,64,23,100,71
"84",7247452,3,66.66,32,38,100,71
"85",7247452,4,66.66,40,31,100,63
"86",7247456,3,87.87,40,31,100,67
"87",7247457,3,84.84,40,31,100,71
"88",7247461,3,90.9,32,16,100,64
"89",7247461,4,90.9,32,3,100,71
"90",7247461,5,90.9,40,31,100,75
"91",7247462,3,81.81,40,31,100,71
"92",7247462,4,81.81,40,31,100,69
"93",7247463,3,81.81,48,60,100,70
"94",7247463,4,81.81,48,60,60,71
"95",7247464,3,75.75,48,26,100,71
"96",7247464,4,75.75,48,60,60,71
"97",7247464,5,75.75,48,31,100,71
"98",7247466,2,57.57,40,28,100,67
"99",7247468,6,69.69,40,31,100,71
"100",7247469,4,66.66,40,31,100,71
"101",7247470,3,71.2,48,28,100,71
"102",7247470,4,71.2,48,3,100,71
"103",7247472,4,72.72,40,31,100,71
"104",7247476,3,78.78,48,3,100,71
"105",7247476,4,78.78,24,3,100,71
"106",7247484,3,66.66,32,3,100,71
"107",7247487,3,75.75,48,3,100,71
"108",7247490,3,78.78,24,1,100,71
"109",7247490,4,78.78,40,31,100,71
"110",7247491,4,63.63,14,22,100,69
"111",7247493,5,72.72,64,28,100,67
"112",7247494,3,72.72,14,3,100,71
"113",7247495,6,63.63,64,21,100,71
"114",7247495,7,63.63,64,29,100,71
"115",7247497,3,75.75,48,22,100,67
"116",7247497,4,75.75,40,31,100,71
"117",7247498,3,75.75,40,25,100,71
"118",7247498,4,75.75,40,31,100,69
"119",7247498,5,75.75,40,31,100,71
"120",7247501,2,90.9,56,67,100,71
"121",7247501,3,90.9,48,3,100,71
"122",7247501,4,90.9,40,23,100,72.5
"123",7247501,7,90.9,48,25,100,71
"124",7247503,4,72.72,40,23,100,71
"125",7247503,5,72.72,48,32,100,71
"126",7247504,5,81.81,18,3,100,67
"127",7247504,6,81.81,12,3,100,71
"128",7247505,4,78.78,48,3,100,71
"129",7247507,3,75.75,40,31,100,71
"130",7247509,4,93.93,40,3,100,71
"131",7247509,5,93.93,40,31,100,71
"132",7247509,7,93.93,48,0,100,69
"133",7247510,5,81.81,48,3,100,71
"134",7247512,3,66.66,48,3,100,71
"135",7247515,4,72.72,48,0,100,71
"136",7247515,5,72.72,40,31,100,71
"137",7247516,3,81.81,40,31,100,71
"138",7247528,3,46.96,40,31,100,71
"139",7247528,4,46.96,40,31,100,67
"140",7247530,4,51.51,40,31,100,71
"141",7247531,2,60.6,40,3,100,71
"142",7247532,3,51.51,48,3,100,71
"143",7247532,4,51.51,40,31,100,69
"144",7247534,4,51.51,40,31,100,71
"145",7247535,5,51.51,40,31,100,71
"146",7247538,3,72.72,64,23,100,69
"147",7247542,2,60.6,48,0,100,71
"148",7247545,3,54.54,40,31,100,68
"149",7247548,3,54.54,64,1,100,53
"150",7247553,5,45.45,48,0,100,71
"151",7247567,3,45.45,40,31,100,69
"152",7247569,3,45.45,40,31,100,71
"153",7247576,3,39.39,48,3,100,71
"154",7247576,4,39.39,28,3,100,71
"155",7247576,5,39.39,40,31,100,67
"156",7247577,3,42.42,48,3,100,71
"157",7247587,4,57.57,48,3,100,71
"158",7247587,5,57.57,40,31,100,71
"159",7247600,5,63.63,28,1,100,71
"160",7247600,6,63.63,48,3,100,71
"161",7247600,7,63.63,40,31,100,71
"162",7247613,5,54.54,64,35,100,67
"163",7247615,3,54.54,48,37,100,71
"164",7247617,3,60.6,48,40,100,71
"165",7247621,7,87.87,48,25,100,71
"166",7247631,4,54.54,48,23,100,71
"167",7247631,5,54.54,56,23,100,71
"168",7247631,6,54.54,48,21,100,74
"169",7247632,5,63.63,40,31,100,69
"170",7247638,3,60.6,40,31,100,65
"171",7247642,3,63.63,48,23,100,71
"172",7247642,4,63.63,40,31,100,71
"173",7247644,3,45.45,64,24,100,71
"174",7247644,4,45.45,48,24,100,71
"175",7247645,5,54.54,64,28,100,67
"176",7247645,6,54.54,48,28,100,71
"177",7247652,4,69.69,56,26,100,71
"178",7247656,3,72.72,56,32,100,71
"179",7247668,4,63.63,56,24,100,71
"180",7247670,3,60.6,64,0,100,68
"181",7247670,4,60.6,40,31,100,71
"182",7247673,4,66.66,48,3,100,75
"183",7247673,5,66.66,48,34,100,71
"184",7247678,3,69.69,48,24,100,67
"185",7247680,3,57.57,48,1,100,71
"186",7247681,3,63.63,48,3,100,61.5
"187",7247681,4,63.63,40,31,100,71
"188",7247685,3,75.75,48,0,70,54
"189",7247685,6,75.75,40,31,100,67
"190",7247686,4,63.63,40,31,100,71
"191",7247688,2,63.63,56,1,100,71
"192",7247688,3,63.63,48,3,100,67
"193",7247688,4,63.63,48,30,100,71
"194",7247689,3,75.75,40,31,100,69
"195",7247691,5,54.54,48,1,100,71
"196",7247692,4,33.33,48,3,100,71
"197",7247692,5,33.33,48,23,100,71
"198",7247695,3,60.6,40,3,100,59
"199",7247695,4,60.6,48,3,100,71
"200",7247696,3,42.42,40,31,100,75
"201",7247697,2,42.42,56,32,100,71
"202",7247697,4,42.42,40,31,100,67
"203",7247698,3,45.45,32,23,100,67
"204",7247698,6,45.45,40,31,100,71
"205",7247698,7,45.45,40,31,100,71
"206",7247699,3,40.9,64,27,100,71
"207",7247699,4,40.9,64,30,100,69
"208",7247699,5,40.9,32,1,100,67
"209",7247700,3,45.45,56,24,100,72
"210",7247700,4,45.45,48,1,100,73
"211",7247705,3,45.45,48,1,100,71
"212",7247705,4,45.45,40,31,100,71
"213",7247705,5,45.45,40,31,100,71
"214",7247706,3,36.36,40,31,100,69
"215",7247706,4,36.36,40,31,100,71
"216",7247707,3,36.36,40,36,100,71
"217",7247707,4,36.36,48,29,100,58
"218",7247709,3,45.45,40,31,100,71
"219",7247710,6,36.36,48,3,60,77
"220",7247712,3,36.36,40,3,100,52
"221",7247712,4,36.36,40,3,100,66
"222",7247713,3,45.45,48,34,100,71
"223",7247713,4,45.45,40,31,100,71
"224",7247714,3,45.45,48,3,100,66
"225",7247714,4,45.45,48,3,100,67
"226",7247714,5,45.45,48,6,100,68
"227",7247714,6,45.45,40,33,100,71
"228",7247715,5,72.72,40,31,100,71
"229",7247717,3,63.63,48,23,100,69
"230",7247718,3,57.57,48,58,100,71
"231",7247718,4,57.57,48,28,100,72
"232",7247718,5,57.57,48,3,100,72
"233",7247719,3,48.48,40,31,100,49
"234",7247720,5,54.54,48,3,100,71
"235",7247727,3,81.81,48,3,100,71
"236",7247727,4,81.81,40,31,100,72
"237",7247728,3,81.81,40,31,100,65
"238",7247729,3,87.87,48,3,100,71
"239",7247730,2,78.78,64,1,100,71
"240",7247730,3,78.78,40,31,100,66
"241",7247731,4,87.87,64,3,100,71
"242",7247732,6,87.87,24,1,100,71
"243",7247735,2,68.17,32,1,100,67
"244",7247735,3,68.17,48,3,100,61.5
"245",7247736,3,69.69,40,31,100,72
"246",7247739,3,68.17,56,3,100,55
"247",7247740,6,69.69,40,25,100,71
"248",7247741,4,66.66,40,31,100,71
"249",7247741,5,66.66,40,31,100,71
"250",7247742,4,72.72,56,28,100,71
"251",7247742,5,72.72,40,31,100,71
"252",7247745,3,59.08,48,3,100,75
"253",7247745,4,59.08,48,30,100,71
"254",7247746,3,81.81,48,0,100,71
"255",7247747,3,78.78,32,3,100,73
"256",7247747,4,78.78,40,31,100,71
"257",7247748,5,72.72,32,24,100,67
"258",7247751,3,75.75,56,23,100,71
"259",7247751,4,75.75,40,31,100,71
"260",7247753,4,81.81,48,24,100,67
"261",7247754,3,90.9,48,29,100,68
"262",7247754,4,90.9,40,40,100,67
"263",7247754,5,90.9,40,31,100,69
"264",7247755,4,99.99,64,54,100,71
"265",7247756,4,81.81,56,0,100,72
"266",7247757,4,78.78,48,3,100,63
"267",7247758,2,90.9,48,23,100,71
"268",7247759,3,63.63,40,31,100,71
"269",7247770,5,66.66,48,26,100,67
"270",7247773,3,60.6,64,0,100,46
"271",7247773,4,60.6,48,24,100,69
"272",7247773,5,60.6,40,31,100,71
"273",7247775,5,90.9,32,30,100,67
"274",7247775,6,90.9,32,30,100,64
"275",7247778,4,75.75,32,23,100,67
"276",7247782,5,90.9,32,64,100,69
"277",7247784,5,84.84,32,35,100,66
"278",7247792,3,66.66,32,66,100,65
"279",7247792,4,66.66,40,31,100,71
"280",7247793,4,63.63,32,42,100,71
"281",7247793,5,63.63,40,31,100,71
"282",7247794,3,84.84,48,31,100,67
"283",7247794,4,84.84,40,31,100,71
"284",7247795,4,87.87,48,28,100,65
"285",7247800,6,90.9,40,31,100,67
"286",7247802,5,51.51,48,32,100,71
"287",7247804,3,72.72,48,24,100,71
"288",7247804,4,72.72,40,31,100,70
"289",7247804,5,72.72,40,31,100,69
"290",7247807,3,90.9,40,31,100,71
"291",7247815,3,72.72,32,32,100,71
"292",7247815,4,72.72,48,0,100,69
"293",7247816,4,75.75,32,31,100,67
"294",7247816,4,75.75,32,33,100,71
"295",7247817,4,66.66,32,28,100,71
"296",7247817,6,66.66,32,53,100,66.5
"297",7247818,4,63.63,32,37,100,67
"298",7247821,3,78.78,40,31,100,75
"299",7247823,3,72.72,40,31,100,64.5
"300",7247825,3,66.66,48,1,100,72
"301",7247825,4,66.66,40,24,100,73.5
"302",7247827,2,51.51,48,24,70,71
"303",7247828,4,72.72,48,44,60,71
"304",7247829,4,78.78,48,1,100,67
"305",7247829,5,78.78,40,31,100,70
"306",7247829,8,78.78,48,23,100,69
"307",7247829,9,78.78,48,16,100,71
"308",7247829,10,78.78,40,31,100,75
"309",7247831,4,63.63,14,24,100,71
"310",7247832,3,63.63,32,24,25,67
"311",7247832,4,63.63,48,30,100,66
"312",7247833,3,69.69,48,54,100,64.5
