"","SECUENCIA_ENCUESTA","DIRECTORIO","SECUENCIA_P","Satisfaccion"
"1",1,7247300,1,72.5
"2",1,7247301,1,72
"3",1,7247310,1,71
"4",1,7247311,1,63
"5",1,7247312,1,71
"6",1,7247323,1,60.5
"7",1,7247324,1,72
"8",1,7247328,1,67.5
"9",1,7247329,1,66.5
"10",1,7247335,1,72.5
"11",1,7247356,1,66
"12",1,7247369,1,64.5
"13",1,7247377,1,71
"14",1,7247379,1,54.5
"15",1,7247382,1,68
"16",1,7247388,1,61
"17",1,7247391,1,75
"18",1,7247392,1,64.5
"19",1,7247394,1,68.5
"20",1,7247402,1,71
"21",1,7247423,1,71
"22",1,7247425,1,71
"23",1,7247439,1,66
"24",1,7247444,1,65
"25",1,7247458,1,61.5
"26",1,7247467,1,71
"27",1,7247473,1,68.5
"28",1,7247474,1,68.5
"29",1,7247484,1,66.5
"30",1,7247487,1,68
"31",1,7247489,1,61
"32",1,7247493,1,63
"33",1,7247495,1,70
"34",1,7247506,1,65.5
"35",1,7247509,1,63
"36",1,7247517,1,68.5
"37",1,7247518,1,63
"38",1,7247520,1,71
"39",1,7247538,1,75
"40",1,7247541,1,75
"41",1,7247546,1,71
"42",1,7247549,1,71
"43",1,7247550,1,71
"44",1,7247552,1,75
"45",1,7247553,1,74
"46",1,7247558,1,71
"47",1,7247560,1,71
"48",1,7247570,1,75
"49",1,7247578,1,75
"50",1,7247584,1,71
"51",1,7247585,1,71
"52",1,7247600,1,73.5
"53",1,7247615,1,72
"54",1,7247626,1,69
"55",1,7247637,1,56.5
"56",1,7247641,1,66
"57",1,7247657,1,66
"58",1,7247659,1,68.5
"59",1,7247660,1,68.5
"60",1,7247662,1,66
"61",1,7247665,1,71
"62",1,7247666,1,64
"63",1,7247668,1,60.5
"64",1,7247671,1,67.5
"65",1,7247672,1,70.5
"66",1,7247679,1,68.5
"67",1,7247684,1,66
"68",1,7247686,1,70.5
"69",1,7247693,1,66.5
"70",1,7247702,1,71
"71",1,7247708,1,59.5
"72",1,7247710,1,66.5
"73",1,7247717,1,64.5
"74",1,7247722,1,71
"75",1,7247746,1,68.5
"76",1,7247747,1,70.5
"77",1,7247748,1,72.5
"78",1,7247749,1,67.5
"79",1,7247752,1,64.5
"80",1,7247758,1,71
"81",1,7247763,1,62
"82",1,7247769,1,66
"83",1,7247777,1,67.5
"84",1,7247778,1,66.5
"85",1,7247781,1,71
"86",1,7247787,1,69
"87",1,7247788,1,68.5
"88",1,7247790,1,57
"89",1,7247793,1,61.5
"90",1,7247797,1,71
"91",1,7247806,1,63
"92",1,7247809,1,68.5
"93",1,7247810,1,68.5
"94",1,7247814,1,75
"95",1,7247817,1,71
"96",1,7247819,1,64.5
"97",1,7247820,1,63.5
"98",1,7247822,1,75
"99",1,7247823,1,63
"100",1,7247826,1,66.5
"101",1,7247835,1,71
"102",1,7247836,1,67.5
"103",1,7247841,1,71
"104",1,7247845,1,52
"105",1,7247847,1,66.5
"106",1,7247849,1,62.5
"107",1,7247856,1,66.5
"108",1,7247859,1,68
"109",1,7247861,1,65.5
"110",1,7247862,1,66.5
"111",1,7247866,1,65.5
"112",1,7247869,1,71
"113",1,7247875,1,70.5
"114",1,7247880,1,71.5
"115",1,7247882,1,71
"116",1,7247885,1,64
"117",1,7247891,1,63
"118",1,7247892,1,71
"119",1,7247896,1,70.5
"120",1,7247897,1,68.5
"121",1,7247898,1,68.5
"122",1,7247905,1,70
"123",1,7247907,1,59
"124",1,7247915,1,59.5
"125",1,7247922,1,67
"126",1,7247926,1,70
"127",1,7247927,1,71
"128",1,7247930,1,71
"129",1,7247931,1,68.5
"130",1,7247932,1,71
"131",1,7247937,1,65.5
"132",1,7247938,1,68.5
"133",1,7247940,1,72.5
"134",1,7247944,1,68.5
"135",1,7247950,1,71
"136",1,7247954,1,71
"137",1,7247956,1,71
"138",1,7247958,1,67
"139",1,7247963,1,65.5
"140",1,7247978,1,68.5
"141",1,7247979,1,70.5
"142",1,7247980,1,66
"143",1,7247982,1,64.5
"144",1,7247986,1,68.5
"145",1,7247987,1,58.5
"146",1,7247993,1,70
"147",1,7247994,1,71
"148",1,7248000,1,71
"149",1,7248003,1,68.5
"150",1,7248004,1,72
"151",1,7248007,1,73
"152",1,7248009,1,71
"153",1,7248019,1,63
"154",1,7248022,1,66.5
"155",1,7248025,1,64
"156",1,7248033,1,50
"157",1,7248035,1,65.5
"158",1,7248039,1,56.5
"159",1,7248048,1,64.5
"160",1,7248049,1,68.5
"161",1,7248063,1,62.5
"162",1,7248064,1,65.5
"163",1,7248066,1,65.5
"164",1,7248068,1,71
"165",1,7248088,1,71
"166",1,7248090,1,71
"167",1,7248097,1,63
"168",1,7248101,1,68.5
"169",1,7248111,1,71
"170",1,7248115,1,66
"171",1,7248117,1,69.5
"172",1,7248121,1,71
"173",1,7248125,1,67
"174",1,7248126,1,74
"175",1,7248138,1,64.5
"176",1,7248144,1,67.5
"177",1,7248171,1,62
"178",1,7248174,1,71
"179",1,7248176,1,70
"180",1,7248177,1,68
"181",1,7248183,1,51
"182",1,7248185,1,65.5
"183",1,7248191,1,72
"184",1,7248195,1,71
"185",1,7248198,1,67
"186",1,7248206,1,75
"187",1,7248225,1,60.5
"188",1,7248229,1,62
"189",1,7248232,1,73
"190",1,7248243,1,74
"191",1,7248250,1,60
"192",1,7248253,1,67.5
"193",1,7248264,1,65.5
"194",1,7248266,1,71
"195",1,7248269,1,70
"196",1,7248270,1,71
"197",1,7248272,1,69
"198",1,7248287,1,65.5
"199",1,7248291,1,72
"200",1,7248304,1,72.5
