"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"1",7247300,1,69
"2",7247301,1,64
"3",7247310,1,67
"4",7247311,1,67
"5",7247312,1,69
"6",7247323,1,66
"7",7247324,1,66
"8",7247328,1,66
"9",7247329,1,67
"10",7247335,1,69
"11",7247356,1,61
"12",7247369,1,68
"13",7247377,1,67
"14",7247379,1,64
"15",7247382,1,62
"16",7247388,1,66
"17",7247391,1,68
"18",7247392,1,66
"19",7247394,1,69
"20",7247402,1,61
"21",7247423,1,62
"22",7247425,1,57
"23",7247439,1,50
"24",7247444,1,54
"25",7247458,1,58
"26",7247467,1,63
"27",7247473,1,60
"28",7247474,1,63
"29",7247484,1,69
"30",7247487,1,67
"31",7247489,1,66
"32",7247493,1,63
"33",7247495,1,65
"34",7247506,1,61
"35",7247509,1,60
"36",7247517,1,64
"37",7247518,1,61
"38",7247520,1,61
"39",7247538,1,58
"40",7247541,1,62
"41",7247546,1,59
"42",7247549,1,60
"43",7247550,1,57
"44",7247552,1,57
"45",7247553,1,55
"46",7247558,1,58
"47",7247560,1,57
"48",7247570,1,52
"49",7247578,1,59
"50",7247584,1,56
"51",7247585,1,57
"52",7247600,1,63
"53",7247615,1,53
"54",7247626,1,69
"55",7247637,1,48
"56",7247641,1,54
"57",7247657,1,51
"58",7247659,1,58
"59",7247660,1,46
"60",7247662,1,53
"61",7247665,1,49
"62",7247666,1,56
"63",7247668,1,54
"64",7247671,1,58
"65",7247672,1,59
"66",7247679,1,55
"67",7247684,1,61
"68",7247686,1,60
"69",7247693,1,43
"70",7247702,1,38
"71",7247708,1,37
"72",7247710,1,39
"73",7247717,1,42
"74",7247722,1,47
"75",7247746,1,66
"76",7247747,1,60
"77",7247748,1,61
"78",7247749,1,64
"79",7247752,1,62
"80",7247758,1,72
"81",7247763,1,66
"82",7247769,1,61
"83",7247777,1,69
"84",7247778,1,58
"85",7247781,1,63
"86",7247787,1,69
"87",7247788,1,69
"88",7247790,1,69
"89",7247793,1,71
"90",7247797,1,64
"91",7247806,1,69
"92",7247809,1,61
"93",7247810,1,68
"94",7247814,1,61
"95",7247817,1,53
"96",7247819,1,67
"97",7247820,1,60
"98",7247822,1,61
"99",7247823,1,65
"100",7247826,1,61
"101",7247835,1,62
"102",7247836,1,66
"103",7247841,1,60
"104",7247845,1,67
"105",7247847,1,69
"106",7247849,1,68
"107",7247856,1,67
"108",7247859,1,67
"109",7247861,1,69
"110",7247862,1,67
"111",7247866,1,68
"112",7247869,1,69
"113",7247875,1,66
"114",7247880,1,66
"115",7247882,1,69
"116",7247885,1,55
"117",7247891,1,52
"118",7247892,1,52
"119",7247896,1,51
"120",7247897,1,52
"121",7247898,1,54
"122",7247905,1,46
"123",7247907,1,53
"124",7247915,1,35
"125",7247922,1,39
"126",7247926,1,44
"127",7247927,1,53
"128",7247930,1,37
"129",7247931,1,52
"130",7247932,1,39
"131",7247937,1,49
"132",7247938,1,57
"133",7247940,1,39
"134",7247944,1,50
"135",7247950,1,44
"136",7247954,1,44
"137",7247956,1,42
"138",7247958,1,60
"139",7247963,1,64
"140",7247978,1,47
"141",7247979,1,55
"142",7247980,1,52
"143",7247982,1,60
"144",7247986,1,56
"145",7247987,1,60
"146",7247993,1,69
"147",7247994,1,69
"148",7248000,1,69
"149",7248003,1,69
"150",7248004,1,66
"151",7248007,1,66
"152",7248009,1,63
"153",7248019,1,61
"154",7248022,1,65
"155",7248025,1,61
"156",7248033,1,58
"157",7248035,1,61
"158",7248039,1,64
"159",7248048,1,64
"160",7248049,1,64
"161",7248063,1,64
"162",7248064,1,68
"163",7248066,1,69
"164",7248068,1,43
"165",7248088,1,62
"166",7248090,1,54
"167",7248097,1,49
"168",7248101,1,68
"169",7248111,1,65
"170",7248115,1,60
"171",7248117,1,66
"172",7248121,1,66
"173",7248125,1,61
"174",7248126,1,64
"175",7248138,1,72
"176",7248144,1,69
"177",7248171,1,69
"178",7248174,1,69
"179",7248176,1,69
"180",7248177,1,69
"181",7248183,1,69
"182",7248185,1,69
"183",7248191,1,69
"184",7248195,1,67
"185",7248198,1,67
"186",7248206,1,69
"187",7248225,1,70
"188",7248229,1,69
"189",7248232,1,65
"190",7248243,1,69
"191",7248250,1,69
"192",7248253,1,69
"193",7248264,1,57
"194",7248266,1,69
"195",7248269,1,66
"196",7248270,1,69
"197",7248272,1,67
"198",7248287,1,63
"199",7248291,1,67
"200",7248304,1,63
"201",7248310,1,67
"202",7248314,1,69
"203",7248315,1,69
"204",7248334,1,67
"205",7248339,1,68
"206",7248343,1,69
"207",7248344,1,66
"208",7248345,1,61
"209",7248347,1,69
"210",7248348,1,67
"211",7248356,1,68
"212",7248364,1,69
"213",7248366,1,69
"214",7248367,1,69
"215",7248374,1,69
"216",7248378,1,70
"217",7248381,1,62
"218",7248383,1,51
"219",7248385,1,55
"220",7248388,1,49
"221",7248391,1,53
"222",7248395,1,52
"223",7248398,1,60
"224",7248408,1,66
"225",7248419,1,58
"226",7248423,1,62
"227",7248427,1,58
"228",7248430,1,68
"229",7248431,1,51
"230",7248437,1,69
"231",7248443,1,67
"232",7248445,1,72
"233",7248462,1,69
"234",7248465,1,69
"235",7248466,1,69
"236",7248468,1,69
"237",7248469,1,69
"238",7248473,1,62
"239",7248491,1,62
"240",7248492,1,65
"241",7248493,1,66
"242",7248502,1,69
"243",7248504,1,69
"244",7248505,1,69
"245",7248514,1,69
"246",7248527,1,57
"247",7248528,1,57
"248",7248532,1,56
"249",7248533,1,57
"250",7248534,1,55
"251",7248538,1,51
"252",7248539,1,52
"253",7248540,1,34
"254",7248541,1,57
"255",7248542,1,57
"256",7248545,1,51
"257",7248550,1,58
"258",7248554,1,52
"259",7248556,1,54
"260",7248557,1,49
"261",7248559,1,59
"262",7248561,1,51
"263",7248564,1,53
"264",7248567,1,51
"265",7248568,1,52
"266",7248572,1,50
"267",7248574,1,61
"268",7248575,1,59
"269",7248578,1,57
"270",7248579,1,61
"271",7248580,1,59
"272",7248582,1,55
"273",7248583,1,54
"274",7248591,1,58
"275",7248598,1,55
"276",7248600,1,54
"277",7248601,1,50
"278",7248602,1,54
"279",7248603,1,57
"280",7248604,1,58
"281",7248606,1,54
"282",7248609,1,57
"283",7248610,1,51
"284",7248611,1,58
"285",7248618,1,59
"286",7248619,1,55
"287",7248621,1,58
"288",7248623,1,54
"289",7248624,1,56
"290",7248625,1,59
"291",7248626,1,57
"292",7248634,1,52
"293",7248635,1,52
"294",7248637,1,59
"295",7248640,1,47
"296",7248641,1,47
"297",7248646,1,45
"298",7248651,1,55
"299",7248654,1,60
"300",7248655,1,55
"301",7248656,1,57
"302",7248657,1,57
"303",7248661,1,48
"304",7248663,1,48
"305",7248664,1,52
"306",7248667,1,54
"307",7248668,1,51
"308",7248670,1,54
"309",7248674,1,53
"310",7248675,1,55
"311",7248676,1,59
"312",7248679,1,59
"313",7248680,1,59
"314",7248683,1,55
"315",7248684,1,54
"316",7248688,1,60
"317",7248689,1,44
"318",7248693,1,50
"319",7248697,1,55
"320",7248699,1,55
"321",7248701,1,36
"322",7248702,1,49
"323",7248704,1,54
"324",7248705,1,44
"325",7248708,1,51
"326",7248710,1,44
"327",7248711,1,49
"328",7248713,1,50
"329",7248714,1,43
"330",7248715,1,48
"331",7248720,1,47
"332",7248722,1,39
"333",7248723,1,50
"334",7248724,1,54
"335",7248726,1,52
"336",7248727,1,48
"337",7248729,1,47
"338",7248730,1,53
"339",7248732,1,48
"340",7248733,1,43
"341",7248735,1,44
"342",7248736,1,57
"343",7248737,1,42
"344",7248740,1,37
"345",7248742,1,47
"346",7248743,1,58
"347",7248745,1,54
"348",7248746,1,57
"349",7248747,1,50
"350",7248749,1,52
"351",7248753,1,60
"352",7248756,1,59
"353",7248759,1,67
"354",7248764,1,57
"355",7248765,1,54
"356",7248768,1,57
"357",7248769,1,54
"358",7248770,1,57
"359",7248772,1,60
"360",7248777,1,57
"361",7248780,1,55
"362",7248781,1,45
"363",7248782,1,52
